date,GBR,SWE,USA
2020-03-02,47.0,14.0,89.0
2020-03-03,69.0,19.0,103.0
2020-03-04,109.0,32.0,125.0
2020-03-05,164.0,62.0,159.0
2020-03-06,220.0,87.0,233.0
2020-03-07,271.0,146.0,338.0
2020-03-08,352.0,179.0,433.0
2020-03-09,412.0,225.0,554.0
2020-03-10,469.0,326.0,754.0
2020-03-11,617.0,424.0,1025.0
2020-03-12,876.0,620.0,1312.0
2020-03-13,1282.0,771.0,1663.0
2020-03-14,1766.0,923.0,2174.0
2020-03-15,2244.0,994.0,2951.0
2020-03-16,2605.0,1063.0,3774.0
2020-03-17,3047.0,1146.0,4661.0
2020-03-18,3658.0,1265.0,6427.0
2020-03-19,4427.0,1410.0,9415.0
2020-03-20,5426.0,1553.0,14250.0
2020-03-21,6481.0,1733.0,19624.0
2020-03-22,7736.0,1869.0,26747.0
2020-03-23,8934.0,1987.0,35206.0
2020-03-24,10312.0,2169.0,46442.0
2020-03-25,12650.0,2399.0,55231.0
2020-03-26,15025.0,2713.0,69194.0
2020-03-27,17717.0,2999.0,85991.0
2020-03-28,20804.0,3364.0,104686.0
2020-03-29,24001.0,3664.0,124665.0
2020-03-30,26823.0,3944.0,143025.0
2020-03-31,29681.0,4360.0,164620.0
2020-04-01,33954.0,4835.0,189618.0
2020-04-02,38468.0,5321.0,216721.0
2020-04-03,43381.0,5875.0,245540.0
2020-04-04,48249.0,6476.0,277965.0
2020-04-05,53160.0,6833.0,312237.0
2020-04-06,57180.0,7173.0,337635.0
2020-04-07,60772.0,7562.0,368196.0
2020-04-08,66054.0,8300.0,398809.0
2020-04-09,71504.0,8954.0,432132.0
2020-04-10,76635.0,9599.0,466033.0
2020-04-11,81493.0,10053.0,501560.0
2020-04-12,85806.0,10448.0,529951.0
2020-04-13,89385.0,10912.0,557571.0
2020-04-14,92874.0,11349.0,582594.0
2020-04-15,97052.0,11828.0,609516.0
2020-04-16,101378.0,12432.0,639664.0
2020-04-17,106443.0,13055.0,671331.0
2020-04-18,111735.0,13743.0,702164.0
2020-04-19,116691.0,14275.0,735086.0
2020-04-20,121412.0,14663.0,759687.0
2020-04-21,125265.0,15124.0,787752.0
2020-04-22,130119.0,15831.0,825041.0
2020-04-23,134879.0,16553.0,842629.0
2020-04-24,140366.0,17311.0,869172.0
2020-04-25,145524.0,18091.0,890524.0
2020-04-26,150494.0,18564.0,939053.0
2020-04-27,154242.0,18864.0,965910.0
2020-04-28,157715.0,19427.0,988451.0
2020-04-29,162421.0,20169.0,1012583.0
2020-04-30,167150.0,20968.0,1039909.0
2020-05-01,172592.0,21603.0,1069826.0
2020-05-02,177558.0,22135.0,1103781.0
2020-05-03,182295.0,22434.0,1133069.0
2020-05-04,185524.0,22695.0,1158041.0
2020-05-05,188506.0,23172.0,1180634.0
2020-05-06,191895.0,23829.0,1204475.0
2020-05-07,195577.0,24574.0,1228603.0
2020-05-08,199404.0,25358.0,1256972.0
2020-05-09,203171.0,26058.0,1283929.0
2020-05-10,206234.0,26567.0,1309541.0
2020-05-11,208391.0,26846.0,1329799.0
2020-05-12,210720.0,27301.0,1347916.0
2020-05-13,214306.0,28055.0,1369964.0
2020-05-14,217708.0,28753.0,1390746.0
2020-05-15,221015.0,29410.0,1417889.0
2020-05-16,223643.0,30098.0,1443397.0
2020-05-17,226169.0,30456.0,1467884.0
2020-05-18,228248.0,30715.0,1486757.0
2020-05-19,230086.0,31145.0,1508598.0
2020-05-20,232675.0,31811.0,1528568.0
2020-05-21,235727.0,32619.0,1551853.0
2020-05-22,238445.0,33229.0,1577287.0
2020-05-23,241019.0,33761.0,1601434.0
2020-05-24,243081.0,34164.0,1622670.0
2020-05-25,244608.0,34374.0,1643238.0
2020-05-26,245972.0,34865.0,1662302.0
2020-05-27,247596.0,35611.0,1681212.0
2020-05-28,249268.0,36411.0,1699933.0
2020-05-29,251103.0,37185.0,1721750.0
2020-05-30,252863.0,37958.0,1747087.0
2020-05-31,254390.0,38390.0,1770384.0
2020-06-01,255515.0,38655.0,1790191.0
2020-06-02,256594.0,39303.0,1811277.0
2020-06-03,258035.0,40204.0,1831821.0
2020-06-04,259519.0,41250.0,1851520.0
2020-06-05,260875.0,42289.0,1872660.0
2020-06-06,262118.0,43435.0,1897838.0
2020-06-07,263238.0,44215.0,1920061.0
2020-06-08,264039.0,44677.0,1942363.0
2020-06-09,264760.0,45354.0,1961185.0
2020-06-10,265859.0,46290.0,1979850.0
2020-06-11,267017.0,47727.0,2000464.0
2020-06-12,268216.0,49020.0,2023347.0
2020-06-13,269233.0,50349.0,2048986.0
2020-06-14,270285.0,51381.0,2074526.0
2020-06-15,271175.0,51799.0,2094069.0
2020-06-16,271997.0,52484.0,2114026.0
2020-06-17,273040.0,53693.0,2137731.0
2020-06-18,274142.0,55150.0,2163290.0
2020-06-19,275155.0,56644.0,2191052.0
2020-06-20,276182.0,57853.0,2220961.0
2020-06-21,277168.0,58551.0,2255119.0
2020-06-22,277855.0,58872.0,2280912.0
2020-06-23,278494.0,59672.0,2312302.0
2020-06-24,279390.0,60982.0,2347022.0
2020-06-25,280276.0,62680.0,2381361.0
2020-06-26,281054.0,63959.0,2422310.0
2020-06-27,281775.0,65163.0,2467837.0
2020-06-28,282446.0,65918.0,2510323.0
2020-06-29,283095.0,66333.0,2548996.0
2020-06-30,283541.0,67060.0,2590552.0
2020-07-01,284271.0,67863.0,2634432.0
2020-07-02,284888.0,68547.0,2686480.0
2020-07-03,285539.0,69234.0,2739879.0
2020-07-04,286141.0,69928.0,2794321.0
2020-07-05,286720.0,70292.0,2839542.0
2020-07-06,287121.0,70607.0,2888635.0
2020-07-07,287676.0,70858.0,2938625.0
2020-07-08,288380.0,71136.0,2996098.0
2020-07-09,288977.0,71669.0,3055004.0
2020-07-10,289670.0,72003.0,3118008.0
2020-07-11,290385.0,72372.0,3184633.0
2020-07-12,290950.0,72680.0,3247684.0
2020-07-13,291392.0,72786.0,3304942.0
2020-07-14,291753.0,72956.0,3363056.0
2020-07-15,292479.0,73268.0,3431574.0
2020-07-16,293164.0,73555.0,3499291.0
2020-07-17,293936.0,73823.0,3576221.0
2020-07-18,294640.0,74107.0,3647715.0
2020-07-19,295209.0,74298.0,3711464.0
2020-07-20,295702.0,74408.0,3773260.0
2020-07-21,296115.0,74539.0,3830010.0
2020-07-22,296908.0,74765.0,3902058.0
2020-07-23,297659.0,75062.0,3970906.0
2020-07-24,298432.0,75282.0,4034102.0
2020-07-25,299163.0,75544.0,4112529.0
2020-07-26,299830.0,75682.0,4178027.0
2020-07-27,300251.0,75724.0,4234020.0
2020-07-28,300622.0,75795.0,4290263.0
2020-07-29,300692.0,76078.0,4351997.0
2020-07-30,301455.0,76379.0,4426982.0
2020-07-31,302301.0,76681.0,4495014.0
2020-08-01,303181.0,76939.0,4562037.0
2020-08-02,303952.0,77242.0,4620444.0
2020-08-03,304695.0,77280.0,4667955.0
2020-08-04,305623.0,77445.0,4713562.0
2020-08-05,306293.0,77778.0,4771087.0
2020-08-06,307184.0,78203.0,4823891.0
2020-08-07,308134.0,78581.0,4883646.0
2020-08-08,309005.0,78961.0,4941796.0
2020-08-09,309763.0,79221.0,4998017.0
2020-08-10,310825.0,79294.0,5044864.0
2020-08-11,311641.0,79490.0,5094394.0
2020-08-12,312789.0,79907.0,5141207.0
2020-08-13,313798.0,80351.0,5197148.0
2020-08-14,314927.0,80714.0,5248242.0
2020-08-15,316367.0,81058.0,5313080.0
2020-08-16,317444.0,81284.0,5361165.0
2020-08-17,318484.0,81347.0,5403269.0
2020-08-18,319197.0,81521.0,5438325.0
2020-08-19,320286.0,81835.0,5482416.0
2020-08-20,321098.0,82186.0,5529842.0
2020-08-21,322280.0,82519.0,5573847.0
2020-08-22,323313.0,82817.0,5623727.0
2020-08-23,324601.0,82977.0,5668105.0
2020-08-24,325642.0,83034.0,5702611.0
2020-08-25,326614.0,83208.0,5740909.0
2020-08-26,327798.0,83431.0,5779028.0
2020-08-27,328846.0,83675.0,5821876.0
2020-08-28,330368.0,83877.0,5867785.0
2020-08-29,331644.0,84056.0,5917439.0
2020-08-30,332752.0,84187.0,5961582.0
2020-08-31,334467.0,84235.0,5997163.0
2020-09-01,335873.0,84397.0,6031013.0
2020-09-02,337168.0,84569.0,6075652.0
2020-09-03,338676.0,84782.0,6114406.0
2020-09-04,340411.0,85068.0,6150655.0
2020-09-05,342351.0,85330.0,6201726.0
2020-09-06,344164.0,85501.0,6245866.0
2020-09-07,347152.0,85568.0,6276421.0
2020-09-08,350100.0,85753.0,6300671.0
2020-09-09,352560.0,85991.0,6327793.0
2020-09-10,355219.0,86305.0,6359720.0
2020-09-11,358138.0,86562.0,6397227.0
2020-09-12,361677.0,86854.0,6445288.0
2020-09-13,365174.0,87060.0,6486108.0
2020-09-14,368504.0,87166.0,6519979.0
2020-09-15,371125.0,87387.0,6554820.0
2020-09-16,374228.0,87575.0,6606293.0
2020-09-17,378219.0,87575.0,6630891.0
