date,GBR,SWE,USA
3/2/20,0,0,2
3/3/20,0,0,6
3/4/20,0,0,9
3/5/20,0,0,11
3/6/20,0,0,12
3/7/20,1,0,14
3/8/20,2,0,17
3/9/20,2,0,21
3/10/20,3,0,26
3/11/20,7,0,28
3/12/20,7,1,30
3/13/20,9,1,40
3/14/20,10,1,47
3/15/20,28,1,57
3/16/20,43,3,69
3/17/20,65,7,85
3/18/20,81,8,108
3/19/20,115,10,150
3/20/20,158,10,150
3/21/20,194,16,260
3/22/20,250,20,340
3/23/20,285,21,471
3/24/20,359,25,590
3/25/20,508,36,801
3/26/20,695,42,1050
3/27/20,878,66,1296
3/28/20,1162,92,1707
3/29/20,1456,102,2191
3/30/20,1670,110,2509
3/31/20,2044,146,3170
4/1/20,2426,180,4079
4/2/20,3096,239,5138
4/3/20,3748,282,6053
4/4/20,4462,333,7157
4/5/20,5222,373,8501
4/6/20,5866,401,9647
4/7/20,6434,477,10989
4/8/20,7472,591,12895
4/9/20,8506,687,14817
4/10/20,9616,793,16690
4/11/20,10768,870,18777
4/12/20,11608,887,20608
4/13/20,12294,899,22108
4/14/20,13038,919,23649
4/15/20,14085,1033,26057
4/16/20,14927,1203,30985
4/17/20,15956,1333,33284
4/18/20,16892,1400,37054
4/19/20,18007,1511,38910
4/20/20,18505,1540,40682
4/21/20,19064,1580,42539
4/22/20,20237,1765,45063
4/23/20,21074,1937,46784
4/24/20,21801,2021,49963
4/25/20,22807,2152,51017
4/26/20,23650,2192,53189
4/27/20,24070,2194,54876
4/28/20,24408,2274,56245
4/29/20,25319,2355,58355
4/30/20,26114,2462,60966
5/1/20,26788,2586,63006
5/2/20,27528,2653,65068
5/3/20,28149,2669,66385
5/4/20,28464,2679,67682
5/5/20,28752,2769,68934
5/6/20,29446,2854,71078
5/7/20,30098,2941,73431
5/8/20,30638,3040,75670
5/9/20,31265,3175,77180
5/10/20,31611,3220,78794
5/11/20,31879,3225,79528
5/12/20,32090,3256,80684
5/13/20,32720,3313,82387
5/14/20,33216,3460,84133
5/15/20,33644,3529,85906
5/16/20,34028,3646,87568
5/17/20,34508,3674,88754
5/18/20,34678,3679,89562
5/19/20,34838,3698,90353
5/20/20,35386,3743,91921
5/21/20,35755,3831,93439
5/22/20,36093,3871,94702
5/23/20,36451,3925,96007
5/24/20,36734,3992,97087
5/25/20,37175,3998,97720
5/26/20,37297,4029,98220
5/27/20,37433,4125,98916
5/28/20,37876,4220,100442
5/29/20,38292,4266,101617
5/30/20,38665,4350,102836
5/31/20,38895,4395,103781
6/1/20,39010,4395,104383
6/2/20,39121,4403,105147
6/3/20,39447,4468,106181
6/4/20,39812,4542,107175
6/5/20,39989,4562,108211
6/6/20,40347,4639,109143
6/7/20,40554,4656,109802
6/8/20,40631,4659,110514
6/9/20,40686,4694,111007
6/10/20,40975,4717,112006
6/11/20,41225,4795,112924
6/12/20,41377,4814,113820
6/13/20,41581,4854,114669
6/14/20,41764,4874,115436
6/15/20,41800,4874,115732
6/16/20,41838,4891,116127
6/17/20,42074,4939,116963
6/18/20,42258,5041,117717
6/19/20,42395,5053,118434
6/20/20,42568,5053,119112
6/21/20,42698,5053,119719
6/22/20,42741,5053,119975
6/23/20,42756,5122,120402
6/24/20,42927,5161,121228
6/25/20,43081,5209,121979
6/26/20,43230,5230,124416
6/27/20,43414,5280,125039
6/28/20,43514,5280,125539
6/29/20,43550,5280,125804
6/30/20,43575,5310,126140
7/1/20,43730,5333,127410
7/2/20,43906,5370,128062
7/3/20,43995,5411,128740
7/4/20,44131,5420,129434
7/5/20,44198,5420,129676
7/6/20,44220,5420,129947
7/7/20,44236,5433,130306
7/8/20,44391,5447,131480
7/9/20,44517,5482,132309
7/10/20,44602,5500,133291
7/11/20,44650,5526,134097
7/12/20,44798,5526,134814
7/13/20,44819,5526,135205
7/14/20,44830,5536,135605
7/15/20,44968,5545,136466
7/16/20,45053,5572,137419
7/17/20,45119,5593,138358
7/18/20,45233,5619,139266
7/19/20,45273,5619,140119
7/20/20,45300,5619,140534
7/21/20,45312,5639,140906
7/22/20,45422,5646,142066
7/23/20,45501,5667,143190
7/24/20,45554,5676,144242
7/25/20,45677,5697,145546
7/26/20,45738,5697,146460
7/27/20,45752,5697,146935
7/28/20,45759,5700,148011
7/29/20,45878,5702,149256
7/30/20,45961,5730,150713
7/31/20,45999,5739,152070
8/1/20,46119,5743,153314
8/2/20,46193,5743,154447
8/3/20,46201,5743,154860
8/4/20,46210,5744,155403
8/5/20,46299,5747,156806
8/6/20,46364,5760,158256
8/7/20,46413,5766,160104
