date,DEU,ESP
2019-12-31,0.0,0.0
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,1.0,0.0
2020-01-29,4.0,0.0
2020-01-30,4.0,0.0
2020-01-31,5.0,0.0
2020-02-01,7.0,1.0
2020-02-02,8.0,1.0
2020-02-03,9.0,1.0
2020-02-04,11.0,1.0
2020-02-05,11.0,1.0
2020-02-06,11.0,1.0
2020-02-07,12.0,1.0
2020-02-08,13.0,1.0
2020-02-09,13.0,1.0
2020-02-10,13.0,2.0
2020-02-11,13.0,2.0
2020-02-12,15.0,2.0
2020-02-13,15.0,2.0
2020-02-14,15.0,2.0
2020-02-15,15.0,2.0
2020-02-16,15.0,2.0
2020-02-17,15.0,2.0
2020-02-18,15.0,2.0
2020-02-19,15.0,2.0
2020-02-20,15.0,2.0
2020-02-21,15.0,2.0
2020-02-22,15.0,2.0
2020-02-23,15.0,2.0
2020-02-24,15.0,2.0
2020-02-25,15.0,3.0
2020-02-26,17.0,9.0
2020-02-27,21.0,17.0
2020-02-28,47.0,35.0
2020-02-29,57.0,54.0
2020-03-01,111.0,82.0
2020-03-02,129.0,136.0
2020-03-03,157.0,192.0
2020-03-04,196.0,267.0
2020-03-05,262.0,348.0
2020-03-06,400.0,531.0
2020-03-07,684.0,764.0
2020-03-08,847.0,1094.0
2020-03-09,902.0,1527.0
2020-03-10,1139.0,2299.0
2020-03-11,1296.0,3274.0
2020-03-12,1567.0,4427.0
2020-03-13,2369.0,5958.0
2020-03-14,3062.0,7641.0
2020-03-15,3795.0,9785.0
2020-03-16,4838.0,11491.0
2020-03-17,6012.0,13994.0
2020-03-18,7156.0,17688.0
2020-03-19,8198.0,21735.0
2020-03-20,14138.0,26304.0
2020-03-21,18187.0,31750.0
2020-03-22,21463.0,36616.0
2020-03-23,24774.0,41262.0
2020-03-24,29212.0,48953.0
2020-03-25,31554.0,57506.0
2020-03-26,36508.0,66460.0
2020-03-27,42288.0,75641.0
2020-03-28,48582.0,83885.0
2020-03-29,52547.0,90309.0
2020-03-30,57298.0,96122.0
2020-03-31,61913.0,104267.0
2020-04-01,67366.0,111680.0
2020-04-02,73522.0,119263.0
2020-04-03,79696.0,126535.0
2020-04-04,85778.0,133198.0
2020-04-05,91714.0,138731.0
2020-04-06,95391.0,142398.0
2020-04-07,99225.0,147607.0
2020-04-08,103228.0,153190.0
2020-04-09,108202.0,158935.0
2020-04-10,113525.0,163472.0
2020-04-11,117658.0,168022.0
2020-04-12,120479.0,171921.0
2020-04-13,123016.0,174951.0
2020-04-14,125098.0,178067.0
2020-04-15,127584.0,182491.0
2020-04-16,130450.0,186311.0
2020-04-17,133830.0,190129.0
2020-04-18,137439.0,193965.0
2020-04-19,139897.0,193252.0
2020-04-20,141672.0,195470.0
2020-04-21,143457.0,198421.0
2020-04-22,145694.0,200733.0
2020-04-23,148046.0,203649.0
2020-04-24,150383.0,205763.0
2020-04-25,152438.0,208269.0
2020-04-26,154175.0,209910.0
2020-04-27,155193.0,211570.0
2020-04-28,156337.0,213095.0
2020-04-29,157641.0,213942.0
2020-04-30,159119.0,215183.0
2020-05-01,159119.0,216570.0
2020-05-02,161703.0,217804.0
2020-05-03,162496.0,218739.0
2020-05-04,163175.0,219205.0
2020-05-05,163860.0,220244.0
2020-05-06,164897.0,221124.0
2020-05-07,166091.0,222045.0
2020-05-08,167300.0,223218.0
2020-05-09,168551.0,223961.0
2020-05-10,169218.0,227377.0
2020-05-11,169575.0,227770.0
2020-05-12,170508.0,228252.0
2020-05-13,171306.0,228691.0
2020-05-14,172239.0,229540.0
2020-05-15,173152.0,230183.0
2020-05-16,173772.0,230698.0
2020-05-17,174355.0,231350.0
2020-05-18,174697.0,231606.0
2020-05-19,175210.0,232037.0
2020-05-20,176007.0,232555.0
2020-05-21,176752.0,233037.0
2020-05-22,177212.0,234824.0
2020-05-23,177850.0,235290.0
2020-05-24,178281.0,235772.0
2020-05-25,178570.0,235400.0
2020-05-26,179002.0,236259.0
2020-05-27,179364.0,236769.0
2020-05-28,179717.0,237906.0
2020-05-29,180458.0,238564.0
2020-05-30,181196.0,239228.0
2020-05-31,181482.0,239429.0
2020-06-01,181815.0,239638.0
2020-06-02,182028.0,239932.0
2020-06-03,182370.0,240326.0
2020-06-04,182764.0,240660.0
2020-06-05,183271.0,240978.0
2020-06-06,183678.0,241310.0
2020-06-07,183979.0,
