date,DEU,ESP
2019-12-31,0.0,0.0
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,1.0
2020-03-06,0.0,3.0
2020-03-07,0.0,5.0
2020-03-08,0.0,5.0
2020-03-09,0.0,5.0
2020-03-10,2.0,28.0
2020-03-11,2.0,35.0
2020-03-12,3.0,47.0
2020-03-13,5.0,84.0
2020-03-14,5.0,121.0
2020-03-15,8.0,136.0
2020-03-16,12.0,288.0
2020-03-17,13.0,309.0
2020-03-18,13.0,491.0
2020-03-19,13.0,598.0
2020-03-20,43.0,767.0
2020-03-21,45.0,1002.0
2020-03-22,67.0,1326.0
2020-03-23,94.0,1720.0
2020-03-24,126.0,2182.0
2020-03-25,149.0,2696.0
2020-03-26,198.0,3434.0
2020-03-27,253.0,4089.0
2020-03-28,325.0,4858.0
2020-03-29,389.0,5690.0
2020-03-30,455.0,6528.0
2020-03-31,583.0,7340.0
2020-04-01,732.0,8189.0
2020-04-02,872.0,9053.0
2020-04-03,1017.0,10003.0
2020-04-04,1158.0,10935.0
2020-04-05,1342.0,11744.0
2020-04-06,1434.0,12418.0
2020-04-07,1607.0,13055.0
2020-04-08,1861.0,13798.0
2020-04-09,2107.0,14555.0
2020-04-10,2373.0,15238.0
2020-04-11,2544.0,15843.0
2020-04-12,2673.0,16353.0
2020-04-13,2799.0,16972.0
2020-04-14,2969.0,17489.0
2020-04-15,3254.0,18276.0
2020-04-16,3569.0,18893.0
2020-04-17,3868.0,19478.0
2020-04-18,4110.0,20043.0
2020-04-19,4294.0,20453.0
2020-04-20,4404.0,20852.0
2020-04-21,4598.0,21282.0
2020-04-22,4879.0,21717.0
2020-04-23,5094.0,22157.0
2020-04-24,5321.0,22524.0
2020-04-25,5500.0,22902.0
2020-04-26,5640.0,23190.0
2020-04-27,5750.0,23190.0
2020-04-28,5913.0,23822.0
2020-04-29,6115.0,24275.0
2020-04-30,6288.0,24543.0
2020-05-01,6288.0,24824.0
2020-05-02,6575.0,25100.0
2020-05-03,6649.0,25264.0
2020-05-04,6692.0,25428.0
2020-05-05,6831.0,25613.0
2020-05-06,6996.0,25857.0
2020-05-07,7119.0,26070.0
2020-05-08,7266.0,26251.0
2020-05-09,7369.0,26478.0
2020-05-10,7395.0,26621.0
2020-05-11,7417.0,26744.0
2020-05-12,7533.0,26920.0
2020-05-13,7634.0,27104.0
2020-05-14,7723.0,27321.0
2020-05-15,7824.0,27459.0
2020-05-16,7881.0,27563.0
2020-05-17,7914.0,27650.0
2020-05-18,7935.0,27709.0
2020-05-19,8007.0,27778.0
2020-05-20,8090.0,27888.0
2020-05-21,8147.0,27940.0
2020-05-22,8174.0,28628.0
2020-05-23,8216.0,28678.0
2020-05-24,8247.0,28752.0
2020-05-25,8257.0,26834.0
2020-05-26,8302.0,27117.0
2020-05-27,8349.0,27118.0
2020-05-28,8411.0,27119.0
2020-05-29,8450.0,27121.0
2020-05-30,8489.0,27125.0
2020-05-31,8500.0,27127.0
2020-06-01,8511.0,27127.0
2020-06-02,8522.0,27127.0
2020-06-03,8551.0,27128.0
2020-06-04,8581.0,27133.0
2020-06-05,8613.0,27134.0
2020-06-06,8646.0,27135.0
2020-06-07,8668.0,
