date,California,Florida,Illinois,Indiana,Maryland,Massachusetts,Nevada,New York,North Carolina,Oregon,Pennsylvania,Washington,CAN,GBR,ITA,0
2020-03-26,4060.0,2478.0,2538.0,661.0,581.0,2417.0,535.0,39058.0,639.0,316.0,1690.0,3208.0,4042.0,20970.0,80589.0,2172.0
2020-03-27,4915.0,3198.0,3029.0,992.0,790.0,3240.0,621.0,44746.0,784.0,415.0,2217.0,3770.0,4682.0,24219.0,86498.0,2703.0
2020-03-28,5566.0,4038.0,3547.0,1239.0,1066.0,4257.0,738.0,53517.0,972.0,480.0,2815.0,4311.0,5576.0,27062.0,92472.0,3163.0
2020-03-29,6321.0,4943.0,4615.0,1522.0,1244.0,4955.0,920.0,59783.0,1166.0,549.0,3441.0,4897.0,6280.0,29954.0,97689.0,3716.0
2020-03-30,7421.0,5695.0,5070.0,1797.0,1415.0,5752.0,1044.0,67504.0,1303.0,607.0,4156.0,5180.0,7398.0,34281.0,101739.0,4343.0
2020-03-31,8583.0,6742.0,5992.0,2177.0,1662.0,6620.0,1113.0,76211.0,1527.0,690.0,4997.0,5293.0,8527.0,38815.0,105792.0,5268.0
2020-04-01,9857.0,7769.0,6978.0,2578.0,1985.0,7738.0,1279.0,84364.0,1591.0,737.0,5805.0,5589.0,9560.0,43789.0,110574.0,6105.0
2020-04-02,11190.0,9000.0,7695.0,3056.0,2331.0,8966.0,1458.0,93360.0,1858.0,827.0,7021.0,6586.0,11284.0,48718.0,115242.0,7074.0
2020-04-03,12569.0,10260.0,8904.0,3455.0,2758.0,10402.0,1549.0,103689.0,2093.0,899.0,8420.0,6967.0,12437.0,53699.0,119827.0,8068.0
2020-04-04,13796.0,11537.0,10357.0,3975.0,3125.0,11736.0,1758.0,115963.0,2402.0,1000.0,10110.0,7499.0,12978.0,57772.0,124632.0,9014.0
2020-04-05,15202.0,12342.0,11276.0,4437.0,3609.0,12500.0,1880.0,124085.0,2585.0,1068.0,11590.0,7985.0,15756.0,61422.0,128948.0,10043.0
