date,Massachusetts,New York,Maryland,North Carolina,Indiana,Illinois,Nevada,Washington,Oregon,California
3/21/20,2,95,3,0,6,6,2,95,4,28
3/22/20,5,142,3,0,9,9,2,97,5,35
3/23/20,9,183,3,0,12,12,4,110,5,39
3/24/20,11,256,4,0,17,16,6,123,8,52
3/25/20,15,375,4,1,19,21,10,130,10,67
3/26/20,25,502,4,2,23,26,10,151,11,82
3/27/20,35,645,5,3,32,37,10,177,12,102
3/28/20,44,935,10,4,38,50,14,191,13,121
3/29/20,48,1180,11,6,40,70,15,207,13,130
3/30/20,56,1512,15,6,44,84,18,221,16,146
3/31/20,89,1929,18,10,61,107,26,226,18,183
4/1/20,122,2415,33,11,79,146,32,249,19,212
4/2/20,154,2963,36,17,94,165,38,272,21,247
4/3/20,192,3716,42,19,118,211,43,293,22,282
4/4/20,216,4535,54,30,136,248,46,318,26,323
4/5/20,231,5335,68,37,151,282,46,344,27,349
4/6/20,260,6130,92,40,171,309,58,383,29,386
4/7/20,356,7185,104,50,208,384,60,409,33,447
4/8/20,433,8138,124,61,246,464,80,430,38,506
4/9/20,503,9166,139,74,295,534,82,456,44,548
4/10/20,599,10162,172,78,353,607,86,483,48,594
4/11/20,686,11159,207,86,389,682,111,498,51,632
4/12/20,756,12116,236,86,405,727,113,511,52,676
4/13/20,844,12998,262,91,414,800,114,525,53,725
4/14/20,957,14001,302,116,458,878,130,552,55,778
4/15/20,1108,14937,413,128,511,958,137,572,58,885
4/16/20,1245,15669,459,140,554,1081,142,588,64,971
4/17/20,1404,16473,494,159,599,1142,151,610,70,1050
4/18/20,1560,17141,534,175,633,1272,155,629,72,1146
4/19/20,1706,17793,548,183,652,1302,158,637,74,1176
4/20/20,1809,18412,582,187,666,1359,163,661,75,1223
4/21/20,1961,19040,652,217,731,1479,163,683,78,1316
4/22/20,2182,19647,698,242,764,1577,187,696,78,1425
4/23/20,2360,20212,748,253,811,1696,195,717,83,1548
4/24/20,2556,20759,798,270,851,1804,203,731,86,1619
4/25/20,2730,21326,875,300,897,1884,206,743,87,1692
4/26/20,2899,21804,910,309,928,1943,206,757,91,1716
4/27/20,3003,22267,945,331,932,1992,219,771,92,1800
4/28/20,3153,22777,1016,353,992,2132,225,792,99,1884
4/29/20,3405,23287,1078,366,1065,2221,237,805,101,1961
4/30/20,3562,23616,1139,385,1114,2361,243,822,103,2057
5/1/20,3716,23841,1192,405,1175,2464,254,829,104,2147
5/2/20,3846,24035,1251,428,1229,2576,257,833,109,2213
5/3/20,4004,24576,1281,436,1246,2632,262,840,109,2235
5/4/20,4090,24788,1317,454,1264,2673,266,846,109,2297
5/5/20,4212,25028,1390,477,1326,2843,276,863,113,2386
5/6/20,4420,25956,1443,497,1377,2977,286,881,115,2478
5/7/20,4552,26206,1503,521,1414,3139,293,903,121,2561
5/8/20,4702,26358,1560,537,1447,3262,301,915,124,2650
5/9/20,4840,26584,1614,554,1490,3362,306,925,127,2732
5/10/20,4979,26798,1644,561,1508,3426,306,939,127,2769
5/11/20,5108,27003,1683,571,1540,3480,312,957,130,2820
5/12/20,5141,27282,1756,597,1578,3617,321,972,130,2902
5/13/20,5315,27448,1809,615,1619,3815,331,977,134,3014
5/14/20,5482,27617,1866,632,1646,3945,339,991,137,3039
5/15/20,5592,27755,1911,660,1691,4075,345,1008,137,3192
5/16/20,5705,27953,1957,671,1741,4149,349,1015,137,3254
5/17/20,5797,28168,1992,679,1751,4198,350,1016,137,3290
5/18/20,5862,28302,2023,684,1765,4257,364,1020,138,3322
5/19/20,5938,28437,2081,711,1824,4399,373,1042,140,3422
5/20/20,6066,28540,2123,721,1864,4547,378,1045,144,3514
5/21/20,6148,28663,2159,733,1913,4634,381,1054,145,3624
5/22/20,6228,28802,2207,754,1941,4740,387,1061,147,3690
5/23/20,6304,28900,2243,763,1964,4817,392,1062,147,3768
5/24/20,6372,29046,2277,771,1976,4884,394,1069,148,3790
5/25/20,6416,29138,2302,780,1984,4912,396,1076,148,3808
5/26/20,6473,29241,2333,789,2004,4960,396,1091,148,3859
5/27/20,6547,29339,2392,827,2030,5118,402,1106,148,3961
5/28/20,6640,29438,2428,859,2068,5225,410,1116,151,4042
5/29/20,6718,29535,2466,888,2110,5308,415,1120,151,4144
5/30/20,6768,29612,2509,903,2125,5368,417,1126,153,4214
5/31/20,6846,29699,2532,911,2134,5426,419,1126,153,4242
6/1/20,7035,29766,2552,923,2142,5458,420,1133,154,4287
6/2/20,7085,29847,2597,950,2197,5567,420,1139,157,4360
6/3/20,7152,29918,2641,971,2207,5665,429,1145,159,4422
6/4/20,7201,30011,2668,993,2231,5772,429,1150,159,4484
