date,California,Florida,Illinois,Indiana,Maryland,Massachusetts,Nevada,New York,North Carolina,Oregon,Pennsylvania,Washington,CAN,GBR,ITA,0
2020-03-26,83.0,29.0,26.0,23.0,4.0,25.0,10.0,502.0,2.0,11.0,16.0,152.0,57.0,886.0,8215.0,37.0
2020-03-27,104.0,46.0,37.0,32.0,5.0,35.0,10.0,645.0,3.0,12.0,23.0,179.0,66.0,1174.0,9134.0,50.0
2020-03-28,122.0,56.0,50.0,38.0,10.0,44.0,14.0,935.0,4.0,13.0,35.0,193.0,82.0,1466.0,10023.0,58.0
2020-03-29,132.0,60.0,71.0,40.0,11.0,48.0,15.0,1180.0,6.0,13.0,40.0,209.0,96.0,1679.0,10779.0,64.0
2020-03-30,147.0,72.0,84.0,44.0,15.0,56.0,18.0,1512.0,6.0,16.0,48.0,221.0,125.0,2053.0,11591.0,72.0
2020-03-31,184.0,85.0,107.0,61.0,18.0,89.0,26.0,1929.0,10.0,18.0,72.0,226.0,152.0,2457.0,12428.0,95.0
2020-04-01,212.0,100.0,146.0,80.0,33.0,122.0,32.0,2415.0,11.0,19.0,78.0,250.0,175.0,3130.0,13155.0,115.0
2020-04-02,247.0,144.0,165.0,94.0,36.0,154.0,38.0,2963.0,17.0,21.0,91.0,272.0,224.0,3787.0,13915.0,137.0
2020-04-03,282.0,169.0,212.0,118.0,42.0,192.0,43.0,3716.0,23.0,22.0,102.0,293.0,277.0,4524.0,14681.0,156.0
2020-04-04,323.0,194.0,248.0,136.0,54.0,216.0,46.0,4535.0,30.0,26.0,140.0,318.0,360.0,5281.0,15362.0,190.0
2020-04-05,351.0,220.0,283.0,151.0,68.0,231.0,46.0,5335.0,37.0,27.0,159.0,344.0,435.0,5882.0,15887.0,209.0
2020-04-06,386.0,253.0,309.0,171.0,92.0,260.0,58.0,6149.0,42.0,29.0,170.0,383.0,520.0,6452.0,16523.0,235.0
2020-04-07,447.0,295.0,384.0,208.0,104.0,356.0,60.0,7185.0,50.0,33.0,241.0,409.0,581.0,7557.0,17127.0,273.0
2020-04-08,506.0,322.0,464.0,246.0,124.0,433.0,80.0,8138.0,61.0,38.0,313.0,430.0,648.0,8589.0,17669.0,318.0
2020-04-09,548.0,370.0,534.0,295.0,139.0,503.0,82.0,9166.0,74.0,44.0,344.0,456.0,771.0,9706.0,18279.0,352.0
2020-04-10,594.0,418.0,607.0,353.0,172.0,599.0,86.0,10162.0,78.0,48.0,435.0,483.0,867.0,10829.0,18849.0,384.0
2020-04-11,632.0,445.0,682.0,389.0,207.0,686.0,111.0,11159.0,86.0,51.0,515.0,498.0,986.0,11673.0,19468.0,412.0
2020-04-12,676.0,460.0,727.0,405.0,236.0,756.0,113.0,12116.0,86.0,52.0,525.0,511.0,1095.0,12330.0,19899.0,450.0
2020-04-13,725.0,498.0,800.0,414.0,262.0,844.0,114.0,12998.0,91.0,53.0,563.0,525.0,1225.0,13055.0,20465.0,485.0
2020-04-14,778.0,570.0,878.0,458.0,302.0,957.0,130.0,14001.0,116.0,55.0,746.0,552.0,1361.0,14135.0,21067.0,534.0
2020-04-15,885.0,613.0,958.0,511.0,413.0,1108.0,137.0,14937.0,128.0,58.0,833.0,572.0,1515.0,15019.0,21645.0,598.0
2020-04-16,971.0,667.0,1081.0,554.0,459.0,1245.0,142.0,15669.0,140.0,64.0,940.0,588.0,1718.0,16059.0,22170.0,671.0
2020-04-17,1050.0,725.0,1142.0,599.0,494.0,1404.0,151.0,16473.0,159.0,70.0,1027.0,610.0,1844.0,16973.0,22745.0,739.0
2020-04-18,1146.0,747.0,1272.0,633.0,534.0,1560.0,155.0,17141.0,175.0,72.0,1150.0,629.0,1987.0,18081.0,23227.0,833.0
2020-04-19,1176.0,773.0,1302.0,652.0,548.0,1706.0,158.0,17793.0,183.0,74.0,1285.0,637.0,2145.0,18514.0,23660.0,858.0
2020-04-20,1223.0,822.0,1359.0,666.0,582.0,1809.0,163.0,18412.0,187.0,75.0,1366.0,661.0,2291.0,19090.0,24114.0,890.0
2020-04-21,1316.0,866.0,1479.0,731.0,652.0,1961.0,163.0,19040.0,217.0,78.0,1620.0,683.0,2484.0,20314.0,24648.0,969.0
2020-04-22,1425.0,926.0,1577.0,764.0,698.0,2182.0,187.0,19647.0,242.0,78.0,1720.0,696.0,2679.0,21171.0,25085.0,1052.0
2020-04-23,1548.0,986.0,1696.0,811.0,748.0,2360.0,195.0,20212.0,253.0,83.0,1723.0,717.0,2850.0,21855.0,25549.0,1160.0
2020-04-24,1619.0,1045.0,1804.0,851.0,798.0,2556.0,203.0,20759.0,270.0,86.0,1786.0,731.0,3030.0,22873.0,25969.0,1215.0
2020-04-25,1692.0,1054.0,1884.0,897.0,875.0,2730.0,206.0,21326.0,304.0,87.0,1842.0,743.0,3217.0,23689.0,26384.0,1277.0
2020-04-26,1716.0,1073.0,1943.0,928.0,910.0,2899.0,206.0,21804.0,309.0,91.0,1871.0,757.0,3374.0,24053.0,26644.0,1299.0
2020-04-27,1800.0,1087.0,1992.0,932.0,945.0,3003.0,219.0,22267.0,331.0,92.0,1946.0,771.0,3559.0,24376.0,26977.0,1365.0
2020-04-28,1884.0,1170.0,2132.0,992.0,1016.0,3153.0,225.0,22777.0,353.0,99.0,2092.0,792.0,3756.0,25347.0,27359.0,1434.0
2020-04-29,1961.0,1216.0,2221.0,1065.0,1078.0,3405.0,237.0,23287.0,366.0,101.0,2392.0,805.0,4000.0,26118.0,27682.0,1505.0
2020-04-30,2057.0,1267.0,2361.0,1114.0,1139.0,3562.0,243.0,23616.0,385.0,103.0,2580.0,822.0,4179.0,26754.0,27967.0,1580.0
2020-05-01,2147.0,1313.0,2464.0,1175.0,1192.0,3716.0,254.0,23841.0,405.0,104.0,2671.0,829.0,4381.0,27454.0,28236.0,1660.0
2020-05-02,2213.0,1363.0,2576.0,1229.0,1251.0,3846.0,257.0,24035.0,428.0,109.0,2794.0,833.0,4529.0,28039.0,28710.0,1720.0
2020-05-03,2235.0,1378.0,2632.0,1246.0,1281.0,4004.0,262.0,24576.0,436.0,109.0,2843.0,840.0,4669.0,28292.0,28884.0,1741.0
2020-05-04,2297.0,1398.0,2673.0,1264.0,1317.0,4090.0,266.0,24788.0,454.0,109.0,2880.0,846.0,4911.0,28565.0,29079.0,1787.0
2020-05-05,2386.0,1470.0,2843.0,1326.0,1390.0,4212.0,276.0,25028.0,477.0,113.0,3206.0,863.0,5081.0,29290.0,29315.0,1869.0
2020-05-06,2478.0,1538.0,2977.0,1377.0,1443.0,4420.0,286.0,25956.0,497.0,115.0,3360.0,881.0,5240.0,29937.0,29684.0,1948.0
2020-05-07,2561.0,1599.0,3139.0,1414.0,1503.0,4552.0,293.0,26206.0,521.0,121.0,3599.0,903.0,5387.0,30395.0,29958.0,2025.0
2020-05-08,2650.0,1668.0,3262.0,1447.0,1560.0,4702.0,301.0,26358.0,537.0,124.0,3724.0,915.0,5540.0,30975.0,30201.0,2100.0
2020-05-09,2732.0,1714.0,3362.0,1490.0,1614.0,4840.0,306.0,26584.0,554.0,127.0,3793.0,925.0,5704.0,31250.0,30395.0,2167.0
2020-05-10,2769.0,1720.0,3426.0,1508.0,1644.0,4979.0,306.0,26798.0,561.0,127.0,3819.0,939.0,5822.0,31467.0,30560.0,2191.0
2020-05-11,2820.0,1734.0,3480.0,1540.0,1683.0,5108.0,312.0,27003.0,571.0,130.0,3846.0,957.0,5956.0,31655.0,30739.0,2235.0
2020-05-12,2902.0,1778.0,3617.0,1578.0,1756.0,5141.0,321.0,27282.0,597.0,130.0,3924.0,972.0,6107.0,32270.0,30911.0,2304.0
2020-05-13,3014.0,1826.0,3815.0,1619.0,1809.0,5315.0,331.0,27448.0,615.0,134.0,4104.0,977.0,6210.0,32718.0,31106.0,2402.0
2020-05-14,3039.0,1874.0,3945.0,1646.0,1866.0,5482.0,339.0,27617.0,632.0,137.0,4298.0,991.0,6331.0,33071.0,31368.0,2419.0
2020-05-15,3192.0,1916.0,4075.0,1691.0,1911.0,5592.0,345.0,27755.0,660.0,137.0,4432.0,1008.0,6452.0,33422.0,31610.0,2545.0
2020-05-16,3254.0,1963.0,4149.0,1741.0,1957.0,5705.0,349.0,27953.0,671.0,137.0,4490.0,1015.0,6571.0,33833.0,31763.0,2600.0
2020-05-17,3290.0,1972.0,4198.0,1751.0,1992.0,5797.0,350.0,28168.0,679.0,137.0,4504.0,1016.0,6661.0,33900.0,31908.0,2634.0
2020-05-18,3322.0,1996.0,4257.0,1765.0,2023.0,5862.0,364.0,28302.0,684.0,138.0,4560.0,1020.0,6753.0,34046.0,32007.0,2664.0
2020-05-19,3422.0,2051.0,4399.0,1824.0,2081.0,5938.0,373.0,28437.0,711.0,140.0,4675.0,1042.0,6828.0,34547.0,32169.0,2753.0
2020-05-20,3514.0,2095.0,4547.0,1864.0,2123.0,6066.0,378.0,28540.0,721.0,144.0,4794.0,1045.0,6950.0,34876.0,32330.0,2827.0
2020-05-21,3624.0,2143.0,4634.0,1913.0,2159.0,6148.0,381.0,28663.0,734.0,145.0,4887.0,1054.0,7046.0,35149.0,32486.0,2926.0
2020-05-22,3690.0,2189.0,4740.0,1941.0,2207.0,6228.0,387.0,28802.0,754.0,147.0,5032.0,1061.0,7144.0,35440.0,32616.0,2984.0
2020-05-23,3768.0,2232.0,4817.0,1964.0,2243.0,6304.0,392.0,28900.0,763.0,147.0,5121.0,1062.0,7238.0,35660.0,32735.0,3060.0
2020-05-24,3790.0,2236.0,4884.0,1976.0,2277.0,6372.0,394.0,29046.0,771.0,148.0,5145.0,1069.0,7326.0,36039.0,32785.0,3081.0
2020-05-25,3808.0,2251.0,4912.0,1984.0,2302.0,6416.0,396.0,29138.0,780.0,148.0,5159.0,1076.0,7420.0,36143.0,32877.0,3098.0
2020-05-26,3859.0,2258.0,4960.0,2004.0,2333.0,6473.0,396.0,29241.0,789.0,148.0,5175.0,1091.0,7512.0,36274.0,32955.0,3133.0
2020-05-27,3961.0,2318.0,5118.0,2030.0,2392.0,6547.0,402.0,29339.0,827.0,148.0,5290.0,1106.0,7606.0,36696.0,33072.0,3224.0
2020-05-28,4042.0,2363.0,5225.0,2068.0,2428.0,6640.0,410.0,29438.0,859.0,151.0,5397.0,1116.0,7717.0,37039.0,33142.0,3297.0
2020-05-29,4144.0,2412.0,5308.0,2110.0,2466.0,6718.0,415.0,29535.0,888.0,151.0,5467.0,1120.0,7797.0,37313.0,33229.0,3381.0
2020-05-30,4214.0,2446.0,5368.0,2125.0,2509.0,6768.0,417.0,29612.0,903.0,153.0,5537.0,1126.0,7857.0,37467.0,33340.0,3449.0
2020-05-31,4242.0,2450.0,5426.0,2134.0,2532.0,6846.0,419.0,29699.0,911.0,153.0,5555.0,1126.0,7906.0,37527.0,33415.0,3474.0
2020-06-01,4287.0,2459.0,5458.0,2142.0,2552.0,7035.0,420.0,29766.0,923.0,154.0,5574.0,1133.0,7952.0,37613.0,33475.0,3504.0
2020-06-02,4360.0,2529.0,5567.0,2197.0,2597.0,7085.0,420.0,29847.0,950.0,157.0,5670.0,1139.0,8008.0,37863.0,33530.0,3571.0
2020-06-03,4422.0,2565.0,5665.0,2207.0,2641.0,7152.0,429.0,29918.0,971.0,159.0,5742.0,1145.0,8062.0,38117.0,33601.0,3631.0
2020-06-04,4484.0,2606.0,5772.0,2231.0,2668.0,7201.0,429.0,30011.0,993.0,159.0,5862.0,1150.0,8126.0,38247.0,33689.0,3686.0
2020-06-05,4550.0,2659.0,5834.0,2258.0,2702.0,7235.0,436.0,30066.0,1001.0,161.0,5952.0,1160.0,8166.0,38505.0,33774.0,3747.0
2020-06-06,4626.0,2687.0,5898.0,2292.0,2740.0,7289.0,437.0,30123.0,1020.0,163.0,5986.0,1163.0,8228.0,38648.0,33846.0,3816.0
2020-06-07,4653.0,2699.0,5939.0,2303.0,2749.0,7316.0,438.0,30183.0,1024.0,164.0,5997.0,1163.0,8269.0,38702.0,33899.0,3842.0
2020-06-08,4679.0,2711.0,6142.0,2316.0,2776.0,7353.0,442.0,30239.0,1041.0,164.0,6007.0,1168.0,8313.0,38749.0,33964.0,3859.0
2020-06-09,4775.0,2764.0,6237.0,2339.0,2811.0,7408.0,445.0,30309.0,1069.0,169.0,6070.0,1181.0,8347.0,38946.0,34043.0,3931.0
