date,,Alabama,Alaska,Arizona,Arkansas,Florida,Georgia,Idaho,Indiana,Iowa,Maryland,Massachusetts,Mississippi,Missouri,Nebraska,New Hampshire,North Dakota,Ohio,Oklahoma,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,West Virginia,Wyoming
1/25/20,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1/27/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1/28/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1/29/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1/30/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1/31/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
2/1/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/2/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/3/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/4/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/5/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/6/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/7/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/8/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/9/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/10/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/11/20,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2/12/20,3,,,1,,,,,,,,1,,,,,,,,,,,1,,,,
2/13/20,4,,,1,,,,,,,,1,,,,,,,,,,,2,,,,
2/14/20,4,,,1,,,,,,,,1,,,,,,,,,,,2,,,,
2/15/20,4,,,1,,,,,,,,1,,,,,,,,,,,2,,,,
2/16/20,4,,,1,,,,,,,,1,,,,,,,,,,,2,,,,
2/17/20,14,,,1,,,,,,,,1,,,10,,,,,,,,2,,,,
2/18/20,14,,,1,,,,,,,,1,,,10,,,,,,,,2,,,,
2/19/20,14,,,1,,,,,,,,1,,,10,,,,,,,,2,,,,
2/20/20,15,,,1,,,,,,,,1,,,11,,,,,,,,2,,,,
2/21/20,17,,,1,,,,,,,,1,,,11,,,,,,,,4,,,,
2/22/20,17,,,1,,,,,,,,1,,,11,,,,,,,,4,,,,
2/23/20,17,,,1,,,,,,,,1,,,11,,,,,,,,4,,,,
2/24/20,24,,,1,,,,,,,,1,,,12,,,,,,,,10,,,,
2/25/20,26,,,1,,,,,,,,1,,,13,,,,,,,,10,1,,,
2/26/20,26,,,1,,,,,,,,1,,,13,,,,,,,,10,1,,,
2/27/20,26,,,1,,,,,,,,1,,,13,,,,,,,,10,1,,,
2/28/20,27,,,1,,,,,,,,1,,,13,,,,,,,,11,1,,,
2/29/20,27,,,1,,,,,,,,1,,,13,,,,,,,,11,1,,,
3/1/20,29,,,1,,2,,,,,,1,,,13,,,,,,,,11,1,,,
3/2/20,33,,,1,,2,2,,,,,2,,,13,1,,,,,,,11,1,,,
3/3/20,36,,,2,,3,2,,,,,2,,,13,2,,,,,,,11,1,,,
3/4/20,37,,,2,,3,2,,,,,2,,,13,2,,,,,,,12,1,,,
3/5/20,47,,,2,,4,2,,,,3,3,,,13,2,,,,,,1,16,1,,,
3/6/20,67,,,3,,7,3,,1,,3,8,,,14,2,,,1,2,,1,19,3,,,
3/7/20,87,,,5,,12,7,,1,,3,13,,1,14,4,,,1,2,,1,19,3,1,,
3/8/20,125,,,5,,13,11,,2,3,5,28,,1,16,4,,,1,6,,3,23,3,1,,
3/9/20,160,,,6,,14,17,,4,8,6,41,,1,16,4,,3,1,7,,4,24,3,1,,
3/10/20,256,,,6,,23,22,,6,13,9,92,,1,17,5,,3,2,9,5,7,31,4,1,,
3/11/20,304,,,9,1,26,31,,11,14,13,95,1,1,23,5,1,4,2,10,8,8,33,5,2,,1
3/12/20,372,,1,9,6,46,31,,12,16,13,108,1,2,24,6,1,5,2,12,8,18,41,7,2,,1
3/13/20,483,6,1,9,7,70,41,1,12,17,18,123,6,4,27,7,1,13,3,13,9,26,58,7,2,,2
3/14/20,608,12,1,12,9,70,65,5,15,18,27,138,6,5,29,7,1,26,4,19,9,32,69,21,5,,3
3/15/20,802,23,1,13,16,109,97,5,19,22,32,164,10,5,31,13,1,37,8,28,9,39,80,29,8,,3
3/16/20,994,29,3,18,22,141,118,5,24,22,39,197,12,9,33,17,1,50,10,33,10,52,87,40,12,,10
3/17/20,"1,289",39,6,20,22,210,142,9,30,29,57,218,21,16,36,26,5,67,18,47,11,73,106,51,14,1,15
3/18/20,"1,770",51,9,28,33,326,193,11,39,38,85,256,34,21,43,39,7,90,29,60,11,98,166,65,19,2,17
3/19/20,"2,456",78,12,47,62,434,282,23,56,44,108,328,50,35,47,44,19,120,44,81,14,155,248,80,22,5,18
3/20/20,"3,496",106,14,70,100,564,482,31,81,45,150,413,80,73,53,55,27,169,49,126,14,237,386,112,29,8,22
3/21/20,"4,603",131,21,104,118,764,552,42,128,68,195,525,140,93,61,65,28,247,53,172,14,312,547,138,49,12,24
3/22/20,"5,828",157,22,153,165,1000,620,47,204,90,245,646,207,130,62,78,30,351,67,194,21,424,639,182,52,16,26
3/23/20,"7,291",196,36,234,201,1222,800,50,264,105,290,777,249,183,73,101,32,444,81,299,28,522,728,257,75,16,28
3/24/20,"9,323",242,42,326,231,1467,1095,73,371,124,349,1159,320,255,77,108,37,564,106,342,30,678,857,299,95,39,37
3/25/20,"12,395",386,59,402,307,1971,1385,123,484,147,423,1838,376,384,84,137,45,707,164,425,41,806,1132,346,123,51,49
3/26/20,"15,744",538,69,508,350,2478,1641,189,661,179,581,2417,486,508,91,158,58,867,248,456,46,981,1542,402,158,76,56
3/27/20,"20,317",639,85,665,385,3198,2198,232,992,236,790,3240,579,670,102,187,68,1144,322,542,58,1180,1971,480,184,96,74
3/28/20,"24,819",720,102,773,409,4038,2447,262,1239,298,1066,4257,669,837,122,214,93,1406,377,661,68,1363,2381,608,211,113,85
3/29/20,"28,886",830,114,930,449,4943,2683,310,1522,336,1244,4955,759,902,138,258,97,1665,429,775,90,1569,2722,719,235,124,88
3/30/20,"33,307",947,120,1169,508,5695,3032,415,1797,424,1415,5752,848,1049,185,314,109,1933,481,925,100,1721,3065,806,256,145,96
3/31/20,"39,369",999,133,1298,564,6742,4116,526,2177,498,1662,6620,937,1350,199,367,126,2199,566,1083,107,2049,3588,887,293,162,121
4/1/20,"46,229",1108,143,1413,624,7769,4747,669,2578,549,1985,7738,1073,1580,249,415,147,2548,719,1293,129,2689,4402,1012,321,191,138
4/2/20,"53,030",1270,146,1600,683,9000,5444,891,3056,614,2331,8966,1177,1834,273,479,159,2903,879,1554,165,2868,4952,1077,338,217,154
4/3/20,"60,271",1535,156,1769,738,10260,5967,1012,3455,699,2758,10402,1358,2113,297,540,173,3312,989,1700,187,3032,5773,1248,389,242,167
4/4/20,"67,289",1632,169,2019,743,11537,6383,1076,3975,786,3125,11736,1455,2291,339,621,186,3739,1159,1917,212,3265,6566,1426,461,282,189
4/5/20,"72,894",1840,183,2269,853,12342,6742,1100,4437,868,3609,12500,1638,2367,377,669,207,4043,1251,2049,240,3538,7117,1618,512,325,200
4/6/20,"80,552",2005,189,2466,927,13621,7558,1170,4986,946,4045,13837,1738,2722,438,715,225,4450,1326,2232,288,3753,8150,1662,543,347,213
4/7/20,"88,593",2197,211,2577,997,14739,9156,1210,5544,1048,4371,15202,1915,3037,491,747,237,4783,1470,2417,320,4010,8968,1737,575,413,221
4/8/20,"96,946",2498,224,2726,1077,15690,10204,1232,5986,1145,5529,16790,2003,3327,538,788,251,5149,1523,2552,393,4246,9897,1860,605,483,230
4/9/20,"106,280",2838,233,3018,1146,16819,10885,1366,6400,1270,6185,18941,2260,3539,594,819,269,5513,1683,2792,447,4456,11372,1980,628,524,303
4/10/20,"115,206",3008,244,3112,1202,17960,11859,1425,6960,1388,6968,20974,2469,3799,678,885,278,5879,1794,3065,536,4793,12291,2103,679,537,320
4/11/20,"122,977",3262,255,3393,1228,18978,12261,1438,7494,1510,7694,22860,2642,4024,718,929,293,6251,1868,3207,626,4983,13208,2208,711,593,343
4/12/20,"129,957",3583,270,3539,1280,19855,12103,1457,7990,1587,8225,25475,2781,4160,805,985,308,6605,1970,3319,729,5144,13776,2305,727,615,364
