date,DNK,DNK,FIN,FIN,NOR,NOR,SWE,SWE
1/29/20,,,1,,,,,
1/30/20,,,1,,,,,
1/31/20,,,1,,,,,
2/1/20,,,1,,,,1,
2/2/20,,,1,,,,1,
2/3/20,,,1,,,,1,
2/4/20,,,1,,,,1,
2/5/20,,,1,,,,1,
2/6/20,,,1,,,,1,
2/7/20,,,1,,,,1,
2/8/20,,,1,,,,1,
2/9/20,,,1,,,,1,
2/10/20,,,1,,,,1,
2/11/20,,,1,,,,1,
2/12/20,,,1,,,,1,
2/13/20,,,1,,,,1,
2/14/20,,,1,,,,1,
2/15/20,,,1,,,,1,
2/16/20,,,1,,,,1,
2/17/20,,,1,,,,1,
2/18/20,,,1,,,,1,
2/19/20,,,1,,,,1,
2/20/20,,,1,,,,1,
2/21/20,,,1,,,,1,
2/22/20,,,1,,,,1,
2/23/20,,,1,,,,1,
2/24/20,,,1,,,,1,
2/25/20,,,1,,,,1,
2/26/20,,,2,,1,,2,
2/27/20,1,,2,,1,,3,
2/28/20,1,,2,,6,,11,
2/29/20,3,,3,,15,,14,
3/1/20,4,,6,,19,,14,
3/2/20,4,,6,,25,,19,
3/3/20,6,,6,,32,,32,
3/4/20,11,,6,,56,,62,
3/5/20,11,,12,,87,,87,
3/6/20,24,,15,,108,,146,
3/7/20,24,,15,,147,,179,
3/8/20,37,,23,,176,,225,
3/9/20,92,,30,,205,,326,
3/10/20,264,,40,,400,,424,1
3/11/20,444,,59,,598,,620,1
3/12/20,617,,59,,702,,771,2
3/13/20,804,,155,,996,,923,3
3/14/20,836,1,225,,1090,3,994,5
3/15/20,875,2,244,,1221,3,1063,7
3/16/20,933,3,277,,1333,3,1146,8
3/17/20,1025,4,321,,1463,3,1265,14
3/18/20,1116,4,336,,1550,6,1410,21
3/19/20,1225,6,400,,1746,7,1553,30
3/20/20,1337,9,450,,1914,7,1733,38
3/21/20,1420,13,523,1,2118,7,1868,49
3/22/20,1514,13,626,1,2385,7,1986,60
3/23/20,1572,24,700,1,2621,10,2168,81
3/24/20,1718,32,792,1,2863,12,2398,103
3/25/20,1862,34,880,3,3084,14,2712,134
3/26/20,2023,41,958,5,3369,14,2998,166
3/27/20,2200,52,1041,7,3755,19,3363,201
3/28/20,2366,65,1167,9,4015,23,3663,239
3/29/20,2564,72,1240,11,4284,25,3943,284
3/30/20,2755,77,1352,13,4445,32,4359,332
3/31/20,3039,90,1418,17,4641,39,4834,385
4/1/20,3290,104,1446,17,4863,44,5320,455
4/2/20,3573,123,1518,19,5147,50,5874,535
4/3/20,3946,139,1615,20,5370,59,6475,605
4/4/20,4269,161,1882,25,5550,62,6832,373
4/5/20,4561,179,1927,28,5687,71,7172,401
4/6/20,4875,187,2176,27,5865,76,7561,477
4/7/20,5266,203,2308,34,6086,89,8299,591
4/8/20,5597,218,2487,40,6086,101,8954,687
4/9/20,5830,237,2605,42,6211,108,9599,793
4/10/20,6014,247,2769,48,6314,113,10053,870
4/11/20,6191,260,2905,49,6409,119,10448,887
4/12/20,6369,273,2974,56,6525,128,10912,899
4/13/20,6513,285,3064,59,6603,134,11349,919
4/14/20,6706,299,3161,64,6623,139,11828,1033
4/15/20,6876,309,3237,72,6740,150,12432,1203
4/16/20,7074,321,3369,75,6896,152,13055,1333
4/17/20,7268,336,3489,82,6937,161,13743,1400
4/18/20,7437,346,3681,90,7036,164,14275,1511
4/19/20,7580,355,3783,94,7078,165,14663,1540
4/20/20,7711,364,3868,98,7156,181,15124,1580
4/21/20,7891,370,4014,141,7191,182,15831,1765
4/22/20,8108,384,4129,149,7338,187,16553,1937
4/23/20,8271,394,4284,172,7401,194,17311,2021
4/24/20,8408,403,4395,177,7463,199,18090,2152
4/25/20,8643,418,4475,186,7499,201,18563,2192
4/26/20,8773,422,4576,190,7527,201,18863,2194
4/27/20,8896,427,4695,193,7599,205,19426,2274
4/28/20,9049,434,4740,199,7660,206,20168,2355
4/29/20,9206,443,4906,206,7710,207,20966,2462
4/30/20,9356,452,4995,211,7738,210,21601,2586
5/1/20,9509,460,5051,218,7783,210,22133,2653
5/2/20,9605,475,5176,220,7809,211,22432,2669
5/3/20,9721,484,5254,230,7847,211,22693,2679
5/4/20,9868,493,5327,240,7904,214,23169,2769
5/5/20,10019,503,5412,246,7955,215,23826,2854
5/6/20,10136,506,5573,252,7996,216,24572,2941
5/7/20,10281,514,5673,255,8034,217,25359,3040
5/8/20,10416,522,5738,260,8070,218,26059,3175
5/9/20,10517,526,5880,265,8099,219,26568,3220
5/10/20,10627,529,5962,267,8105,219,26846,3225
5/11/20,10711,533,5984,271,8132,224,27301,3256
5/12/20,10789,527,6003,275,8157,228,28055,3313
5/13/20,10865,533,6054,284,8175,229,28755,3460
5/14/20,10911,537,6145,287,8196,232,29415,3529
5/15/20,10989,537,6228,293,8219,232,30103,3646
5/16/20,11056,543,6286,297,8237,232,30461,3674
5/17/20,11125,547,6347,298,8249,232,30720,3679
5/18/20,11166,548,6380,300,8257,233,31151,3698
5/19/20,11242,551,6399,301,8267,233,31818,3743
5/20/20,11315,554,6443,304,8281,234,32626,3831
5/21/20,11380,561,6493,306,8309,235,33236,3871
5/22/20,11428,561,6537,306,8332,235,33768,3925
5/23/20,11487,561,6568,306,8346,235,34171,3992
5/24/20,11559,562,6579,307,8352,235,34381,3998
5/25/20,11586,563,6599,308,8364,235,34871,4029
5/26/20,11627,563,6628,312,8383,235,35617,4125
5/27/20,11680,565,6692,313,8401,235,36417,4220
5/28/20,11712,568,6743,313,8411,236,37191,4266
5/29/20,11793,568,6776,314,8422,236,37964,4350
5/30/20,11833,571,6826,316,8437,236,38396,4395
5/31/20,11869,574,6859,320,8440,236,38661,4395
6/1/20,11899,576,6885,318,8446,236,39309,4403
6/2/20,11934,580,6887,320,8455,237,40210,4468
6/3/20,11971,580,6911,321,8477,237,41256,4542
6/4/20,12011,582,6911,322,8504,238,42295,4562
6/5/20,12075,586,6941,322,8522,238,43441,4639
6/6/20,12124,587,6964,322,8531,238,44224,4656
6/7/20,12148,589,6981,323,8547,238,44686,4659
6/8/20,12162,593,7001,323,8561,239,45363,4694
6/9/20,12201,593,7025,324,8576,239,46299,4717
6/10/20,12216,593,7040,324,8594,239,47736,4795
6/11/20,12235,593,7064,325,8608,242,49030,4814
6/12/20,12299,594,7073,325,8620,242,50367,4854
6/13/20,12339,597,7087,325,8628,242,51409,4874
6/14/20,12393,597,7104,326,8631,242,51827,4874
6/15/20,12417,598,7108,326,8647,242,52511,4891
6/16/20,12450,598,7112,326,8660,242,53729,4939
6/17/20,12494,598,7117,326,8692,243,55186,5041
6/18/20,12544,600,7119,326,8708,244,56682,5053
6/19/20,12591,600,7133,326,8726,244,57895,5053
6/20/20,12591,600,7142,326,8742,244,58597,5053
6/21/20,12591,600,7143,326,8745,244,58918,5053
6/22/20,12727,602,7144,327,8751,248,59718,5053
6/23/20,12761,603,7155,327,8772,248,61030,5161
6/24/20,12815,603,7167,327,8788,249,62728,5209
6/25/20,12836,603,7172,327,8788,249,64009,5230
6/26/20,12875,604,7191,328,8832,249,65212,5280
6/27/20,12875,604,7198,328,8846,249,65972,5280
6/28/20,12875,604,7198,328,8855,249,66392,5280
6/29/20,12951,605,7209,328,8862,249,67119,5280
6/30/20,12968,605,7214,328,8879,250,67924,5333
7/1/20,12994,606,7236,328,8896,251,68608,5370
7/2/20,13015,606,7241,328,8902,251,69297,5411
7/3/20,13032,606,7242,329,8921,251,69996,5420
7/4/20,13032,606,7248,329,8926,251,70366,5420
7/5/20,13033,606,7253,329,8930,251,70681,5420
7/6/20,13079,607,7257,329,8936,251,70932,5420
7/7/20,13089,609,7262,329,8947,251,71210,5447
7/8/20,13101,609,7265,329,8950,251,71747,5482
