date,DNK,FIN,NOR,SWE
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,1.0
2020-03-11,,,,1.0
2020-03-12,,,,2.0
2020-03-13,,,,3.0
2020-03-14,1.0,,3.0,5.0
2020-03-15,2.0,,3.0,7.0
2020-03-16,3.0,,3.0,8.0
2020-03-17,4.0,,3.0,14.0
2020-03-18,4.0,,6.0,21.0
2020-03-19,6.0,,7.0,30.0
2020-03-20,9.0,,7.0,38.0
2020-03-21,13.0,1.0,7.0,49.0
2020-03-22,13.0,1.0,7.0,60.0
2020-03-23,24.0,1.0,10.0,81.0
2020-03-24,32.0,1.0,12.0,103.0
2020-03-25,34.0,3.0,14.0,134.0
2020-03-26,41.0,5.0,14.0,166.0
2020-03-27,52.0,7.0,19.0,201.0
2020-03-28,65.0,9.0,23.0,239.0
2020-03-29,72.0,11.0,25.0,284.0
2020-03-30,77.0,13.0,32.0,332.0
2020-03-31,90.0,17.0,39.0,385.0
2020-04-01,104.0,17.0,44.0,455.0
2020-04-02,123.0,19.0,50.0,535.0
2020-04-03,139.0,20.0,59.0,605.0
2020-04-04,161.0,25.0,62.0,373.0
2020-04-05,179.0,28.0,71.0,401.0
2020-04-06,187.0,27.0,76.0,477.0
2020-04-07,203.0,34.0,89.0,591.0
2020-04-08,218.0,40.0,101.0,687.0
2020-04-09,237.0,42.0,108.0,793.0
2020-04-10,247.0,48.0,113.0,870.0
2020-04-11,260.0,49.0,119.0,887.0
2020-04-12,273.0,56.0,128.0,899.0
2020-04-13,285.0,59.0,134.0,919.0
2020-04-14,299.0,64.0,139.0,1033.0
2020-04-15,309.0,72.0,150.0,1203.0
2020-04-16,321.0,75.0,152.0,1333.0
2020-04-17,336.0,82.0,161.0,1400.0
2020-04-18,346.0,90.0,164.0,1511.0
2020-04-19,355.0,94.0,165.0,1540.0
2020-04-20,364.0,98.0,181.0,1580.0
2020-04-21,370.0,141.0,182.0,1765.0
2020-04-22,384.0,149.0,187.0,1937.0
2020-04-23,394.0,172.0,194.0,2021.0
2020-04-24,403.0,177.0,199.0,2152.0
2020-04-25,418.0,186.0,201.0,2192.0
2020-04-26,422.0,190.0,201.0,2194.0
2020-04-27,427.0,193.0,205.0,2274.0
2020-04-28,434.0,199.0,206.0,2355.0
2020-04-29,443.0,206.0,207.0,2462.0
2020-04-30,452.0,211.0,210.0,2586.0
2020-05-01,460.0,218.0,210.0,2653.0
2020-05-02,475.0,220.0,211.0,2669.0
2020-05-03,484.0,230.0,211.0,2679.0
2020-05-04,493.0,240.0,214.0,2769.0
2020-05-05,503.0,246.0,215.0,2854.0
2020-05-06,506.0,252.0,216.0,2941.0
2020-05-07,514.0,255.0,217.0,3040.0
2020-05-08,522.0,260.0,218.0,3175.0
2020-05-09,526.0,265.0,219.0,3220.0
2020-05-10,529.0,267.0,219.0,3225.0
2020-05-11,533.0,271.0,224.0,3256.0
2020-05-12,527.0,275.0,228.0,3313.0
2020-05-13,533.0,284.0,229.0,3460.0
2020-05-14,537.0,287.0,232.0,3529.0
2020-05-15,537.0,293.0,232.0,3646.0
2020-05-16,543.0,297.0,232.0,3674.0
2020-05-17,547.0,298.0,232.0,3679.0
2020-05-18,548.0,300.0,233.0,3698.0
2020-05-19,551.0,301.0,233.0,3743.0
2020-05-20,554.0,304.0,234.0,3831.0
