date,Los Angeles,Orange,Riverside,San Bernardino,Ventura,sums
2020-03-26,1216.0,256.0,107.0,55.0,61.0,1695.0
2020-03-27,1465.0,321.0,185.0,64.0,83.0,2118.0
2020-03-28,1804.0,321.0,185.0,64.0,98.0,2472.0
2020-03-29,2136.0,431.0,195.0,111.0,109.0,2982.0
2020-03-30,2474.0,464.0,291.0,111.0,126.0,3466.0
2020-03-31,3011.0,502.0,371.0,183.0,149.0,4216.0
2020-04-01,3518.0,606.0,371.0,254.0,160.0,4909.0
2020-04-02,4045.0,656.0,493.0,304.0,177.0,5675.0
2020-04-03,4566.0,711.0,638.0,353.0,189.0,6457.0
2020-04-04,5277.0,786.0,665.0,353.0,203.0,7284.0
2020-04-05,5940.0,834.0,799.0,372.0,221.0,8166.0
2020-04-06,6360.0,882.0,946.0,530.0,226.0,8944.0
2020-04-07,6910.0,931.0,1016.0,547.0,243.0,9647.0
2020-04-08,7530.0,1016.0,1179.0,641.0,263.0,10629.0
2020-04-09,7955.0,1079.0,1280.0,729.0,274.0,11317.0
2020-04-10,8430.0,1138.0,1350.0,810.0,298.0,12026.0
2020-04-11,8873.0,1221.0,1431.0,810.0,309.0,12644.0
2020-04-12,9192.0,1277.0,1619.0,887.0,314.0,13289.0
2020-04-13,9420.0,1283.0,1751.0,977.0,317.0,13748.0
2020-04-14,10047.0,1299.0,1961.0,977.0,350.0,14634.0
2020-04-15,10496.0,1376.0,2105.0,996.0,365.0,15338.0
2020-04-16,10854.0,1425.0,2264.0,1032.0,384.0,15959.0
2020-04-17,11391.0,1501.0,2457.0,1096.0,396.0,16841.0
2020-04-18,12021.0,1556.0,2602.0,1219.0,416.0,17814.0
2020-04-19,12341.0,1636.0,2638.0,1286.0,416.0,18317.0
2020-04-20,13816.0,1676.0,2847.0,1406.0,428.0,20173.0
2020-04-21,15140.0,1691.0,2960.0,1489.0,443.0,21723.0
2020-04-22,16435.0,1753.0,3084.0,1489.0,451.0,23212.0
2020-04-23,17508.0,1827.0,3218.0,1564.0,465.0,24582.0
2020-04-24,18545.0,1845.0,3315.0,1666.0,476.0,25847.0
2020-04-25,19107.0,1969.0,3409.0,1732.0,476.0,26693.0
2020-04-26,19528.0,2074.0,3563.0,1751.0,497.0,27413.0
2020-04-27,20417.0,2126.0,3643.0,1772.0,509.0,28467.0
2020-04-28,20976.0,2198.0,3735.0,1827.0,513.0,29249.0
2020-04-29,22485.0,2324.0,3942.0,1928.0,517.0,31196.0
2020-04-30,23182.0,2421.0,4031.0,2058.0,535.0,32227.0
2020-05-01,24215.0,2591.0,4079.0,2113.0,547.0,33545.0
2020-05-02,24894.0,2660.0,4164.0,2182.0,559.0,34459.0
2020-05-03,25662.0,2774.0,4180.0,2182.0,566.0,35364.0
2020-05-04,26217.0,2859.0,4354.0,2182.0,583.0,36195.0
2020-05-05,27815.0,2931.0,4454.0,2329.0,595.0,38124.0
2020-05-06,28644.0,3041.0,4672.0,2432.0,608.0,39397.0
2020-05-07,29427.0,3156.0,4756.0,2562.0,631.0,40532.0
2020-05-08,30296.0,3283.0,4817.0,2629.0,652.0,41677.0
2020-05-09,31197.0,3395.0,4992.0,2902.0,666.0,43152.0
2020-05-10,31677.0,3506.0,5039.0,2964.0,679.0,43865.0
2020-05-11,32258.0,3627.0,5189.0,3015.0,690.0,44779.0
2020-05-12,33180.0,3699.0,5248.0,3078.0,698.0,45903.0
2020-05-13,34428.0,3843.0,5343.0,3153.0,725.0,47492.0
2020-05-14,35329.0,4025.0,5440.0,3198.0,742.0,48734.0
2020-05-15,36259.0,4163.0,5618.0,3311.0,760.0,50111.0
2020-05-16,37303.0,4281.0,5618.0,3463.0,789.0,51454.0
2020-05-17,37974.0,4396.0,5633.0,3511.0,813.0,52327.0
2020-05-18,38451.0,4466.0,5952.0,3593.0,838.0,53300.0
2020-05-19,39573.0,4558.0,6053.0,3707.0,850.0,54741.0
2020-05-20,40857.0,4746.0,6184.0,3795.0,861.0,56443.0
2020-05-21,42037.0,4866.0,6343.0,3984.0,883.0,58113.0
2020-05-22,43052.0,4975.0,6464.0,4146.0,912.0,59549.0
2020-05-23,44055.0,5157.0,6464.0,4315.0,937.0,60928.0
2020-05-24,44988.0,5336.0,6464.0,4365.0,961.0,62114.0
2020-05-25,46018.0,5469.0,7004.0,4365.0,982.0,63838.0
2020-05-26,47822.0,5601.0,7139.0,4567.0,1020.0,66149.0
2020-05-27,48700.0,5651.0,7252.0,4777.0,1033.0,67413.0
2020-05-28,49774.0,5849.0,7341.0,4914.0,1065.0,68943.0
2020-05-29,51562.0,6045.0,7486.0,5034.0,1083.0,71210.0
2020-05-30,53651.0,6176.0,7486.0,5200.0,1093.0,73606.0
2020-05-31,54996.0,6354.0,7492.0,5246.0,1116.0,75204.0
2020-06-01,55968.0,6532.0,7982.0,5355.0,1152.0,76989.0
2020-06-02,57118.0,6640.0,8155.0,5501.0,1164.0,78578.0
2020-06-03,58234.0,6790.0,8303.0,5650.0,1190.0,80167.0
2020-06-04,59650.0,6939.0,8303.0,5793.0,1216.0,81901.0
2020-06-05,61045.0,7192.0,8777.0,5930.0,1261.0,84205.0
2020-06-06,62338.0,7391.0,8777.0,6040.0,1274.0,85820.0
2020-06-07,63844.0,7576.0,8935.0,6040.0,1303.0,87698.0
2020-06-08,64644.0,7643.0,9206.0,6247.0,1341.0,89081.0
2020-06-09,65822.0,7786.0,9590.0,6417.0,1382.0,90997.0
2020-06-10,67064.0,7991.0,9911.0,6593.0,1407.0,92966.0
2020-06-11,68875.0,8222.0,10240.0,6742.0,1466.0,95545.0
2020-06-12,70476.0,8304.0,10490.0,6976.0,1518.0,97764.0
2020-06-13,72023.0,8440.0,10616.0,7161.0,1534.0,99774.0
2020-06-14,73018.0,8581.0,10931.0,7359.0,1567.0,101456.0
2020-06-15,73791.0,8759.0,11285.0,7515.0,1633.0,102983.0
2020-06-16,75084.0,8999.0,11694.0,7796.0,1656.0,105229.0
2020-06-17,77189.0,9197.0,11951.0,8014.0,1706.0,108057.0
2020-06-18,78227.0,9292.0,12467.0,8454.0,1753.0,110193.0
2020-06-19,79609.0,9597.0,12778.0,8714.0,1781.0,112479.0
2020-06-20,81636.0,9988.0,12778.0,8959.0,1865.0,115226.0
2020-06-21,83397.0,10422.0,13021.0,9156.0,1946.0,117942.0
2020-06-22,85942.0,10595.0,13800.0,9361.0,2030.0,121728.0
