date,Los Angeles,Orange,Riverside,San Bernardino,Ventura,sums
2020-03-26,21.0,1.0,8.0,3.0,1.0,34.0
2020-03-27,27.0,3.0,8.0,3.0,3.0,44.0
2020-03-28,33.0,3.0,8.0,3.0,3.0,50.0
2020-03-29,37.0,4.0,8.0,3.0,4.0,56.0
2020-03-30,44.0,4.0,9.0,3.0,4.0,64.0
2020-03-31,54.0,7.0,13.0,6.0,5.0,85.0
2020-04-01,65.0,10.0,13.0,6.0,5.0,99.0
2020-04-02,78.0,13.0,14.0,8.0,6.0,119.0
2020-04-03,89.0,13.0,15.0,13.0,6.0,136.0
2020-04-04,117.0,14.0,18.0,13.0,6.0,168.0
2020-04-05,132.0,14.0,19.0,13.0,6.0,184.0
2020-04-06,147.0,14.0,25.0,16.0,6.0,208.0
2020-04-07,169.0,15.0,28.0,17.0,6.0,235.0
2020-04-08,198.0,17.0,32.0,20.0,7.0,274.0
2020-04-09,223.0,17.0,33.0,24.0,7.0,304.0
2020-04-10,241.0,17.0,39.0,25.0,10.0,332.0
2020-04-11,265.0,18.0,41.0,25.0,10.0,359.0
2020-04-12,296.0,19.0,41.0,31.0,10.0,397.0
2020-04-13,320.0,19.0,50.0,31.0,10.0,430.0
2020-04-14,360.0,19.0,50.0,31.0,13.0,473.0
2020-04-15,402.0,22.0,54.0,39.0,13.0,530.0
2020-04-16,455.0,25.0,59.0,47.0,13.0,599.0
2020-04-17,495.0,28.0,69.0,55.0,13.0,660.0
2020-04-18,576.0,32.0,74.0,57.0,13.0,752.0
2020-04-19,600.0,32.0,75.0,57.0,13.0,777.0
2020-04-20,617.0,33.0,85.0,60.0,13.0,808.0
2020-04-21,663.0,33.0,93.0,67.0,13.0,869.0
2020-04-22,729.0,34.0,99.0,67.0,14.0,943.0
2020-04-23,797.0,36.0,109.0,72.0,16.0,1030.0
2020-04-24,850.0,36.0,112.0,80.0,16.0,1094.0
2020-04-25,895.0,38.0,117.0,82.0,16.0,1148.0
2020-04-26,913.0,39.0,118.0,82.0,17.0,1169.0
2020-04-27,942.0,40.0,141.0,82.0,17.0,1222.0
2020-04-28,1000.0,42.0,141.0,85.0,17.0,1285.0
2020-04-29,1056.0,44.0,143.0,89.0,17.0,1349.0
2020-04-30,1111.0,45.0,149.0,93.0,18.0,1416.0
2020-05-01,1172.0,50.0,156.0,96.0,18.0,1492.0
2020-05-02,1209.0,52.0,167.0,98.0,19.0,1545.0
2020-05-03,1229.0,52.0,167.0,99.0,19.0,1566.0
2020-05-04,1256.0,57.0,181.0,99.0,19.0,1612.0
2020-05-05,1313.0,61.0,184.0,101.0,19.0,1678.0
2020-05-06,1367.0,65.0,190.0,104.0,19.0,1745.0
2020-05-07,1418.0,66.0,194.0,108.0,19.0,1805.0
2020-05-08,1468.0,71.0,204.0,111.0,19.0,1873.0
2020-05-09,1512.0,74.0,210.0,119.0,19.0,1934.0
2020-05-10,1530.0,76.0,212.0,121.0,19.0,1958.0
2020-05-11,1569.0,76.0,217.0,121.0,19.0,2002.0
2020-05-12,1613.0,78.0,228.0,121.0,19.0,2059.0
2020-05-13,1659.0,80.0,238.0,138.0,24.0,2139.0
2020-05-14,1659.0,80.0,246.0,139.0,24.0,2148.0
2020-05-15,1755.0,84.0,249.0,150.0,25.0,2263.0
2020-05-16,1793.0,86.0,255.0,155.0,25.0,2314.0
2020-05-17,1821.0,88.0,259.0,155.0,25.0,2348.0
2020-05-18,1839.0,88.0,263.0,155.0,25.0,2370.0
2020-05-19,1913.0,88.0,270.0,157.0,28.0,2456.0
2020-05-20,1970.0,98.0,274.0,158.0,29.0,2529.0
2020-05-21,2016.0,112.0,284.0,164.0,29.0,2605.0
2020-05-22,2049.0,118.0,290.0,173.0,30.0,2660.0
2020-05-23,2090.0,130.0,298.0,176.0,30.0,2724.0
2020-05-24,2104.0,131.0,299.0,176.0,30.0,2740.0
2020-05-25,2116.0,131.0,304.0,176.0,30.0,2757.0
2020-05-26,2143.0,131.0,309.0,176.0,32.0,2791.0
2020-05-27,2195.0,136.0,314.0,183.0,32.0,2860.0
2020-05-28,2241.0,142.0,320.0,190.0,32.0,2925.0
2020-05-29,2290.0,145.0,331.0,199.0,33.0,2998.0
2020-05-30,2338.0,146.0,339.0,204.0,33.0,3060.0
2020-05-31,2362.0,147.0,339.0,204.0,33.0,3085.0
2020-06-01,2384.0,147.0,344.0,204.0,34.0,3113.0
2020-06-02,2443.0,150.0,344.0,208.0,34.0,3179.0
2020-06-03,2489.0,158.0,345.0,209.0,35.0,3236.0
2020-06-04,2531.0,165.0,345.0,210.0,35.0,3286.0
2020-06-05,2565.0,174.0,355.0,217.0,35.0,3346.0
2020-06-06,2620.0,176.0,355.0,224.0,35.0,3410.0
2020-06-07,2645.0,177.0,355.0,224.0,35.0,3436.0
2020-06-08,2655.0,177.0,356.0,224.0,35.0,3447.0
2020-06-09,2707.0,185.0,365.0,224.0,35.0,3516.0
2020-06-10,2768.0,198.0,372.0,225.0,38.0,3601.0
2020-06-11,2813.0,202.0,380.0,227.0,38.0,3660.0
2020-06-12,2832.0,210.0,383.0,229.0,40.0,3694.0
2020-06-13,2890.0,217.0,383.0,229.0,40.0,3759.0
2020-06-14,2907.0,221.0,383.0,229.0,40.0,3780.0
2020-06-15,2926.0,221.0,384.0,229.0,41.0,3801.0
2020-06-16,2959.0,233.0,395.0,229.0,41.0,3857.0
2020-06-17,2991.0,243.0,399.0,229.0,41.0,3903.0
2020-06-18,3027.0,250.0,408.0,230.0,42.0,3957.0
2020-06-19,3063.0,257.0,410.0,230.0,42.0,4002.0
2020-06-20,3110.0,267.0,410.0,233.0,42.0,4062.0
2020-06-21,3120.0,269.0,410.0,233.0,42.0,4074.0
2020-06-22,3137.0,269.0,424.0,234.0,43.0,4107.0
2020-06-23,3171.0,275.0,431.0,234.0,43.0,4154.0
2020-06-24,3205.0,299.0,432.0,245.0,44.0,4225.0
2020-06-25,3246.0,306.0,435.0,248.0,44.0,4279.0
2020-06-26,3267.0,323.0,438.0,249.0,44.0,4321.0
2020-06-27,3285.0,323.0,438.0,249.0,44.0,4339.0
2020-06-28,3305.0,326.0,438.0,249.0,44.0,4362.0
2020-06-29,3326.0,330.0,440.0,249.0,45.0,4390.0
2020-06-30,3369.0,340.0,457.0,253.0,46.0,4465.0
2020-07-01,3402.0,345.0,463.0,258.0,46.0,4514.0
2020-07-02,3454.0,354.0,465.0,265.0,47.0,4585.0
2020-07-03,3454.0,360.0,479.0,269.0,47.0,4609.0
2020-07-04,3454.0,360.0,479.0,269.0,47.0,4609.0
2020-07-05,3487.0,363.0,479.0,269.0,47.0,4645.0
2020-07-06,3534.0,366.0,486.0,269.0,50.0,4705.0
2020-07-07,3579.0,366.0,506.0,272.0,50.0,4773.0
2020-07-08,3642.0,369.0,515.0,293.0,50.0,4869.0
2020-07-09,3689.0,376.0,533.0,304.0,53.0,4955.0
2020-07-10,3738.0,402.0,537.0,304.0,53.0,5034.0
2020-07-11,3793.0,412.0,537.0,304.0,53.0,5099.0
2020-07-12,3809.0,421.0,537.0,306.0,53.0,5126.0
2020-07-13,3822.0,423.0,550.0,307.0,53.0,5155.0
2020-07-14,3894.0,433.0,553.0,309.0,53.0,5242.0
2020-07-15,3936.0,455.0,577.0,310.0,56.0,5334.0
2020-07-16,3988.0,466.0,585.0,310.0,56.0,5405.0
2020-07-17,4047.0,469.0,587.0,315.0,57.0,5475.0
2020-07-18,4084.0,494.0,587.0,328.0,57.0,5550.0
2020-07-19,4095.0,494.0,587.0,328.0,57.0,5561.0
2020-07-20,4104.0,493.0,588.0,329.0,58.0,5572.0
2020-07-21,4154.0,513.0,589.0,333.0,62.0,5651.0
2020-07-22,4213.0,521.0,617.0,337.0,63.0,5751.0
2020-07-23,4262.0,543.0,637.0,358.0,63.0,5863.0
2020-07-24,4300.0,556.0,637.0,372.0,67.0,5932.0
2020-07-25,4351.0,562.0,637.0,376.0,67.0,5993.0
2020-07-26,4360.0,564.0,637.0,383.0,67.0,6011.0
2020-07-27,4375.0,566.0,671.0,384.0,70.0,6066.0
2020-07-28,4426.0,581.0,672.0,395.0,71.0,6145.0
2020-07-29,4516.0,587.0,682.0,395.0,73.0,6253.0
2020-07-30,4552.0,604.0,688.0,403.0,74.0,6321.0
2020-07-31,4621.0,618.0,695.0,409.0,76.0,6419.0
2020-08-01,4669.0,649.0,695.0,417.0,76.0,6506.0
2020-08-02,4692.0,651.0,695.0,417.0,76.0,6531.0
2020-08-03,4701.0,651.0,737.0,418.0,76.0,6583.0
2020-08-04,4758.0,653.0,738.0,477.0,77.0,6703.0
2020-08-05,4825.0,665.0,752.0,487.0,79.0,6808.0
2020-08-06,4869.0,697.0,770.0,490.0,82.0,6908.0
2020-08-07,4918.0,704.0,799.0,497.0,89.0,7007.0
2020-08-08,4967.0,720.0,799.0,502.0,89.0,7077.0
2020-08-09,4977.0,726.0,799.0,546.0,89.0,7137.0
2020-08-10,4996.0,726.0,820.0,546.0,92.0,7180.0
2020-08-11,5057.0,734.0,824.0,549.0,93.0,7257.0
2020-08-12,5109.0,745.0,853.0,555.0,93.0,7355.0
2020-08-13,5171.0,769.0,879.0,558.0,94.0,7471.0
2020-08-14,5214.0,789.0,881.0,561.0,95.0,7540.0
2020-08-15,5245.0,809.0,881.0,568.0,95.0,7598.0
2020-08-16,5254.0,810.0,881.0,568.0,95.0,7608.0
2020-08-17,5273.0,810.0,912.0,568.0,96.0,7659.0
2020-08-18,5335.0,815.0,913.0,616.0,97.0,7776.0
2020-08-19,5392.0,833.0,917.0,621.0,98.0,7861.0
2020-08-20,5446.0,833.0,922.0,625.0,101.0,7927.0
2020-08-21,5491.0,882.0,927.0,629.0,102.0,8031.0
2020-08-22,5537.0,896.0,927.0,691.0,102.0,8153.0
2020-08-23,5545.0,897.0,927.0,691.0,102.0,8162.0
2020-08-24,5558.0,897.0,972.0,692.0,103.0,8222.0
2020-08-25,5605.0,912.0,978.0,695.0,105.0,8295.0
2020-08-26,5663.0,918.0,984.0,709.0,107.0,8381.0
2020-08-27,5701.0,947.0,997.0,715.0,110.0,8470.0
2020-08-28,5732.0,956.0,1007.0,716.0,115.0,8526.0
2020-08-29,5759.0,975.0,1007.0,716.0,115.0,8572.0
2020-08-30,5769.0,979.0,1007.0,716.0,115.0,8586.0
