date,0,1,Bexar,2,3,El Paso,Lubbock,Webb,Texas
2020-03-26,380.0,564.0,84,184.0,34.0,25,19.0,10.0,1542
2020-03-27,464.0,736.0,113,219.0,49.0,30,31.0,22.0,1971
2020-03-28,705.0,829.0,125,222.0,51.0,35,31.0,25.0,2381
2020-03-29,840.0,881.0,140,244.0,68.0,40,41.0,30.0,2722
2020-03-30,901.0,1039.0,157,271.0,70.0,47,51.0,32.0,3065
2020-03-31,1100.0,1172.0,207,284.0,95.0,50,77.0,37.0,3588
2020-04-01,1333.0,1434.0,229,343.0,106.0,50,100.0,45.0,4402
2020-04-02,1438.0,1617.0,254,406.0,139.0,68,108.0,57.0,4952
2020-04-03,1705.0,1804.0,342,473.0,175.0,78,117.0,65.0,5773
2020-04-04,2040.0,1954.0,395,552.0,195.0,96,138.0,65.0,6566
2020-04-05,2189.0,2088.0,421,595.0,213.0,106,151.0,102.0,7117
2020-04-06,2695.0,2250.0,467,651.0,245.0,125,180.0,110.0,8150
2020-04-07,3064.0,2422.0,514,651.0,288.0,153,180.0,125.0,8968
2020-04-08,3426.0,2688.0,514,757.0,305.0,153,191.0,135.0,9897
2020-04-09,4196.0,2901.0,626,784.0,334.0,225,214.0,163.0,11372
2020-04-10,4517.0,3074.0,676,836.0,365.0,252,234.0,166.0,12291
2020-04-11,4904.0,3248.0,723,891.0,419.0,269,270.0,171.0,13208
2020-04-12,4996.0,3452.0,734,992.0,459.0,269,270.0,191.0,13776
2020-04-13,5183.0,3643.0,783,1076.0,464.0,300,317.0,206.0,14487
2020-04-14,5443.0,3804.0,805,1131.0,497.0,346,330.0,223.0,15303
2020-04-15,5728.0,3974.0,901,1138.0,539.0,346,330.0,239.0,16106
2020-04-16,6005.0,4114.0,901,1232.0,562.0,393,367.0,245.0,16928
2020-04-17,6265.0,4471.0,970,1344.0,610.0,482,407.0,253.0,18131
2020-04-18,6539.0,4667.0,1003,1369.0,643.0,505,419.0,267.0,18927
2020-04-19,6753.0,4790.0,1015,1389.0,643.0,531,430.0,280.0,19441
2020-04-20,6970.0,4903.0,1040,1456.0,649.0,540,445.0,281.0,20035
2020-04-21,7192.0,5124.0,1080,1526.0,675.0,587,458.0,295.0,20949
2020-04-22,7394.0,5341.0,1126,1575.0,686.0,645,470.0,302.0,21769
2020-04-23,7585.0,5592.0,1178,1649.0,714.0,674,481.0,321.0,22706
2020-04-24,7822.0,5840.0,1206,1746.0,735.0,706,494.0,338.0,23650
2020-04-25,8027.0,6101.0,1243,1772.0,751.0,780,497.0,340.0,24494
2020-04-26,8177.0,6337.0,1254,1839.0,768.0,802,499.0,345.0,25209
2020-04-27,8326.0,6525.0,1287,1916.0,783.0,802,504.0,346.0,25963
2020-04-28,8551.0,6758.0,1307,1999.0,790.0,857,507.0,349.0,26868
2020-04-29,8818.0,6959.0,1326,2064.0,824.0,887,516.0,358.0,27839
2020-04-30,9114.0,7266.0,1374,2144.0,837.0,924,535.0,363.0,29072
2020-05-01,9410.0,7659.0,1489,2178.0,857.0,961,543.0,368.0,30342
2020-05-02,9646.0,7987.0,1585,2220.0,868.0,986,549.0,385.0,31433
2020-05-03,9842.0,8311.0,1625,2273.0,880.0,998,553.0,391.0,32299
2020-05-04,10008.0,8606.0,1664,2338.0,897.0,1029,560.0,396.0,33134
2020-05-05,10264.0,8971.0,1689,2419.0,910.0,1080,567.0,400.0,34286
2020-05-06,10460.0,9369.0,1761,2497.0,939.0,1119,575.0,410.0,35441
2020-05-07,10683.0,9807.0,1805,2567.0,974.0,1190,582.0,414.0,36682
2020-05-08,10970.0,10287.0,1835,2650.0,988.0,1276,583.0,424.0,37943
2020-05-09,11208.0,10646.0,1887,2683.0,1009.0,1322,583.0,434.0,38849
2020-05-10,11307.0,11407.0,1901,2724.0,1033.0,1340,592.0,435.0,40037
2020-05-11,11644.0,11755.0,1920,2771.0,1068.0,1340,598.0,437.0,40988
2020-05-12,11936.0,12102.0,1942,2855.0,1104.0,1413,605.0,444.0,42348
2020-05-13,12232.0,12647.0,1976,2943.0,1139.0,1456,607.0,445.0,43822
2020-05-14,12466.0,13059.0,2041,3024.0,1208.0,1607,614.0,451.0,45169
2020-05-15,12775.0,13352.0,2120,3074.0,1238.0,1655,616.0,469.0,46987
2020-05-16,12910.0,13669.0,2120,3136.0,1240.0,1726,616.0,477.0,47866
2020-05-17,13291.0,14001.0,2120,3188.0,1293.0,1772,619.0,477.0,48828
2020-05-18,13503.0,14375.0,2192,3271.0,1309.0,1800,619.0,477.0,49788
2020-05-19,13789.0,14738.0,2278,3356.0,1354.0,1852,624.0,479.0,51080
2020-05-20,14097.0,15054.0,2322,3424.0,1387.0,1930,630.0,492.0,52369
2020-05-21,14364.0,15384.0,2371,3514.0,1396.0,2046,639.0,498.0,53441
2020-05-22,14640.0,15716.0,2392,3571.0,1413.0,2160,656.0,498.0,54369
2020-05-23,14918.0,15950.0,2418,3627.0,1430.0,2265,662.0,502.0,55451
2020-05-24,15084.0,16181.0,2454,3698.0,1457.0,2340,664.0,511.0,56050
2020-05-25,15090.0,16365.0,2461,3796.0,1465.0,2376,667.0,516.0,56490
2020-05-26,15542.0,16671.0,2492,3877.0,1480.0,2393,674.0,516.0,57573
2020-05-27,15874.0,17077.0,2537,3974.0,1516.0,2461,677.0,521.0,59105
2020-05-28,16163.0,17435.0,2595,4055.0,1547.0,2569,680.0,524.0,60820
2020-05-29,16484.0,17773.0,2648,4136.0,1559.0,2623,688.0,535.0,62073
2020-05-30,16749.0,18123.0,2837,4200.0,1576.0,2704,691.0,540.0,63396
2020-05-31,16825.0,18432.0,2842,4255.0,1614.0,2764,692.0,546.0,64974
2020-06-01,17287.0,18709.0,2851,4368.0,1623.0,2794,704.0,548.0,66081
