date,0,1,Bexar,2,3,El Paso,Lubbock,Webb,,,Texas
3/26/20,2,10,3,1,0,0,0,0,16,5,21
3/27/20,3,10,5,2,0,0,0,0,20,5,25
3/28/20,4,13,5,2,0,0,0,0,24,6,30
3/29/20,5,13,5,3,0,0,0,0,26,9,35
3/30/20,8,16,5,4,0,0,1,1,35,11,46
3/31/20,9,19,9,4,0,0,1,2,44,13,57
4/1/20,11,23,9,4,0,0,2,2,51,14,65
4/2/20,15,29,9,5,0,0,3,3,64,16,80
4/3/20,18,32,10,5,0,0,3,5,73,25,98
4/4/20,27,36,11,8,0,0,4,5,91,33,124
4/5/20,30,39,11,9,0,0,4,6,99,37,136
4/6/20,33,42,12,11,0,0,6,6,110,49,159
4/7/20,38,48,18,11,1,0,6,6,128,49,177
4/8/20,48,51,18,13,1,0,6,6,143,52,195
4/9/20,54,57,22,14,4,1,7,6,165,63,228
4/10/20,64,61,24,14,4,2,9,6,184,65,249
4/11/20,66,65,24,16,4,2,13,6,196,69,265
4/12/20,70,76,27,16,4,2,14,6,215,73,288
4/13/20,75,80,27,18,4,2,21,8,235,85,320
4/14/20,86,95,33,21,4,4,25,8,276,89,365
4/15/20,95,97,37,21,4,4,25,10,293,102,395
4/16/20,102,109,37,24,6,7,25,11,321,107,428
4/17/20,108,117,37,28,8,7,28,11,344,117,461
4/18/20,113,127,38,30,9,8,28,11,364,123,487
4/19/20,119,128,39,32,9,8,32,11,378,125,503
4/20/20,125,129,39,33,10,9,36,11,392,131,523
4/21/20,127,138,39,35,11,9,38,11,408,144,552
4/22/20,129,142,39,36,13,10,39,12,420,151,571
4/23/20,134,150,43,39,17,10,40,12,445,156,601
4/24/20,138,160,43,40,19,10,40,12,462,163,625
4/25/20,144,169,43,45,20,12,40,13,486,176,662
4/26/20,148,172,43,48,21,12,40,15,499,177,676
4/27/20,159,174,44,51,21,12,43,15,519,180,699
4/28/20,169,191,44,52,23,14,43,15,551,187,738
