date,Connecticut,New Jersey,New York
3/2/20,,,1
3/3/20,,,2
3/4/20,,1,11
3/5/20,,2,22
3/6/20,,4,44
3/7/20,,4,89
3/8/20,1,6,106
3/9/20,2,11,142
3/10/20,2,15,173
3/11/20,3,23,217
3/12/20,6,29,326
3/13/20,11,50,421
3/14/20,20,75,610
3/15/20,26,98,732
3/16/20,41,176,950
3/17/20,68,268,1375
3/18/20,96,427,2387
3/19/20,159,735,4161
3/20/20,194,896,7113
3/21/20,223,1336,10371
3/22/20,327,1914,15188
3/23/20,415,2844,20899
3/24/20,618,3675,25704
3/25/20,875,4402,33117
3/26/20,1012,6876,39058
3/27/20,1291,8825,44746
3/28/20,1524,11124,53517
3/29/20,1993,13386,59783
3/30/20,2571,16636,67504
3/31/20,3128,18696,76211
4/1/20,3557,22255,84364
4/2/20,3824,25590,93360
4/3/20,4915,29895,103689
4/4/20,5276,34124,115963
4/5/20,5675,37505,124085
4/6/20,6906,41090,133389
4/7/20,7781,44416,141703
4/8/20,8781,47437,151271
4/9/20,9784,51027,162036
4/10/20,10538,54588,172830
4/11/20,11510,58151,182990
4/12/20,12035,61850,191425
4/13/20,13381,64584,197973
4/14/20,13989,68824,205375
4/15/20,14755,71030,217130
4/16/20,15884,75317,225761
4/17/20,16809,78467,233293
4/18/20,17550,81420,240542
4/19/20,17962,85301,246741
4/20/20,19815,88806,251608
4/21/20,20360,92387,255932
4/22/20,22469,95865,261591
4/23/20,23100,99989,267932
4/24/20,23921,102196,276218
4/25/20,24582,105523,286901
4/26/20,25269,109038,292914
4/27/20,25997,111188,296991
4/28/20,26312,113856,300276
4/29/20,26767,116264,304994
4/30/20,27700,118652,309696
5/1/20,28764,121190,313575
5/2/20,29287,123717,318134
5/3/20,29287,126744,321833
5/4/20,29973,128269,324357
5/5/20,30621,130593,326659
5/6/20,30995,131890,329405
5/7/20,31784,133635,332931
5/8/20,32411,135454,335804
5/9/20,32984,137085,338519
5/10/20,33554,138532,340657
5/11/20,33765,139945,342267
5/12/20,34333,140743,343705
5/13/20,34855,141560,345828
5/14/20,35464,142704,348192
5/15/20,36085,143905,350951
5/16/20,36703,145089,353136
5/17/20,37419,146334,355037
5/18/20,38116,148039,356278
5/19/20,38430,149013,357757
5/20/20,39017,150399,359235
5/21/20,39208,151472,361313
5/22/20,39640,152719,362991
5/23/20,40022,153104,364745
5/24/20,40468,154154,366346
5/25/20,40873,155092,367625
5/26/20,41303,155764,368669
5/27/20,41288,156628,369801
5/28/20,41559,157815,371559
5/29/20,41762,158844,373108
5/30/20,42022,159608,374471
5/31/20,42201,160445,375575
6/1/20,42740,160918,376520
6/2/20,42979,161545,377881
6/3/20,43091,162068,378924
6/4/20,43239,162530,379977
6/5/20,43460,163336,381019
6/6/20,43818,163893,382102
6/7/20,43968,164164,382879
6/8/20,44092,164497,383591
6/9/20,44179,164796,384281
6/10/20,44347,165346,384945
6/11/20,44461,165816,385669
6/12/20,44689,166164,386490
6/13/20,44994,166605,387402
6/14/20,45088,166881,388096
6/15/20,45235,167103,388719
6/16/20,45349,167426,389349
6/17/20,45429,167703,389910
6/18/20,45440,168107,390536
6/19/20,45557,168496,391330
6/20/20,45715,168834,392037
6/21/20,45755,169142,392702
6/22/20,45782,169415,393257
6/23/20,45899,169734,393855
6/24/20,45913,169892,394430
6/25/20,45994,172050,395168
6/26/20,46059,172438,395972
6/27/20,46206,172727,396669
6/28/20,46303,173036,397293
6/29/20,46362,173126,397684
6/30/20,46514,173521,398142
