date,,Alabama,Alaska,Arizona,Arkansas,Florida,Georgia,Idaho,Indiana,Iowa,Kansas,Kentucky,Louisiana,Michigan,Mississippi,Missouri,Montana,Nebraska,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,West Virginia,Wisconsin,Wyoming
1/26/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/6/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/7/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/8/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/9/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/10/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/11/20,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2/12/20,3,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
2/13/20,4,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
2/14/20,4,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
2/15/20,4,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
2/16/20,4,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
2/17/20,14,,,1,,,,,,,,,,,,,,10,,,,,,,,,2,,,1,
2/18/20,14,,,1,,,,,,,,,,,,,,10,,,,,,,,,2,,,1,
2/19/20,14,,,1,,,,,,,,,,,,,,10,,,,,,,,,2,,,1,
2/20/20,15,,,1,,,,,,,,,,,,,,11,,,,,,,,,2,,,1,
2/21/20,17,,,1,,,,,,,,,,,,,,11,,,,,,,,,4,,,1,
2/22/20,17,,,1,,,,,,,,,,,,,,11,,,,,,,,,4,,,1,
2/23/20,17,,,1,,,,,,,,,,,,,,11,,,,,,,,,4,,,1,
2/24/20,24,,,1,,,,,,,,,,,,,,12,,,,,,,,,10,,,1,
2/25/20,26,,,1,,,,,,,,,,,,,,13,,,,,,,,,10,1,,1,
2/26/20,26,,,1,,,,,,,,,,,,,,13,,,,,,,,,10,1,,1,
2/27/20,26,,,1,,,,,,,,,,,,,,13,,,,,,,,,10,1,,1,
2/28/20,27,,,1,,,,,,,,,,,,,,13,,,,,,,,,11,1,,1,
2/29/20,27,,,1,,,,,,,,,,,,,,13,,,,,,,,,11,1,,1,
3/1/20,29,,,1,,2,,,,,,,,,,,,13,,,,,,,,,11,1,,1,
3/2/20,31,,,1,,2,2,,,,,,,,,,,13,,,,,,,,,11,1,,1,
3/3/20,34,,,2,,3,2,,,,,,,,,,,13,1,,,,,,,,11,1,,1,
3/4/20,35,,,2,,3,2,,,,,,,,,,,13,1,,,,,,,,12,1,,1,
3/5/20,41,,,2,,4,2,,,,,,,,,,,13,1,,,,,,,1,16,1,,1,
3/6/20,60,,,3,,7,3,,1,,,1,,,,,,14,2,,,1,2,2,,1,19,3,,1,
3/7/20,75,,,5,,12,7,,1,,1,1,,,,1,,14,2,,,1,4,2,,1,19,3,,1,
3/8/20,101,,,5,,13,11,,2,3,1,4,,,,1,,16,2,,,1,6,6,,3,23,3,,1,
3/9/20,134,,,6,,14,17,,4,8,1,5,1,,,1,,16,7,,3,1,10,7,,4,24,3,,2,
3/10/20,187,,,6,,23,22,,6,13,1,7,6,2,,1,,17,7,,3,2,12,9,5,7,31,4,,3,
