date,King,Kitsap,Pierce,Snohomish,Spokane,Yakima
2020-03-26,1579.0,33.0,186.0,778.0,67.0,61.0
2020-03-27,1830.0,42.0,231.0,913.0,86.0,72.0
2020-03-28,2079.0,49.0,282.0,912.0,108.0,100.0
2020-03-29,2163.0,56.0,318.0,1067.0,140.0,147.0
2020-03-30,2332.0,63.0,353.0,1126.0,140.0,147.0
2020-03-31,2332.0,63.0,353.0,1228.0,140.0,147.0
2020-04-01,2498.0,74.0,424.0,1304.0,145.0,200.0
2020-04-02,2658.0,85.0,499.0,1375.0,186.0,216.0
2020-04-03,2789.0,95.0,578.0,1449.0,194.0,289.0
2020-04-04,2900.0,95.0,627.0,1502.0,209.0,289.0
2020-04-05,3169.0,102.0,695.0,1558.0,219.0,363.0
2020-04-06,3333.0,111.0,724.0,1602.0,226.0,380.0
2020-04-07,3488.0,119.0,767.0,1658.0,231.0,400.0
2020-04-08,3690.0,119.0,802.0,1694.0,231.0,400.0
2020-04-09,3888.0,123.0,845.0,1701.0,246.0,447.0
2020-04-10,4119.0,128.0,882.0,1801.0,255.0,447.0
2020-04-11,4264.0,132.0,931.0,1834.0,255.0,535.0
2020-04-12,4428.0,132.0,940.0,1866.0,278.0,535.0
2020-04-13,4551.0,132.0,984.0,1907.0,280.0,573.0
2020-04-14,4622.0,132.0,1023.0,1949.0,282.0,635.0
2020-04-15,4699.0,132.0,1051.0,1987.0,290.0,674.0
2020-04-16,4811.0,132.0,1092.0,2031.0,297.0,707.0
2020-04-17,4904.0,135.0,1126.0,2055.0,302.0,759.0
2020-04-18,5065.0,136.0,1197.0,2092.0,306.0,759.0
2020-04-19,5174.0,138.0,1229.0,2142.0,311.0,771.0
2020-04-20,5295.0,139.0,1258.0,2162.0,317.0,868.0
2020-04-21,5381.0,140.0,1290.0,2162.0,319.0,868.0
2020-04-22,5451.0,140.0,1315.0,2208.0,321.0,868.0
2020-04-23,5571.0,144.0,1343.0,2239.0,326.0,952.0
2020-04-24,5691.0,144.0,1370.0,2267.0,330.0,952.0
2020-04-25,5813.0,146.0,1394.0,2297.0,345.0,1066.0
2020-04-26,5914.0,146.0,1408.0,2311.0,351.0,1085.0
2020-04-27,5992.0,148.0,1449.0,2355.0,353.0,1085.0
2020-04-28,6056.0,148.0,1494.0,2370.0,354.0,1135.0
2020-04-29,6184.0,148.0,1519.0,2416.0,357.0,1197.0
2020-04-30,6310.0,151.0,1554.0,2446.0,366.0,1237.0
2020-05-01,6409.0,152.0,1587.0,2466.0,371.0,1293.0
2020-05-02,6507.0,152.0,1620.0,2492.0,371.0,1293.0
2020-05-03,6620.0,152.0,1640.0,2737.0,373.0,1411.0
2020-05-04,6584.0,152.0,1673.0,2784.0,378.0,1411.0
2020-05-05,6655.0,152.0,1711.0,2807.0,379.0,1440.0
2020-05-06,6772.0,152.0,1757.0,2830.0,384.0,1597.0
2020-05-07,6865.0,154.0,1801.0,2889.0,386.0,1658.0
2020-05-08,6942.0,154.0,1820.0,2917.0,386.0,1756.0
2020-05-09,7002.0,155.0,1857.0,2917.0,386.0,1756.0
2020-05-10,7048.0,155.0,1883.0,2932.0,386.0,1781.0
2020-05-11,7117.0,156.0,1907.0,2970.0,390.0,1966.0
2020-05-12,7181.0,156.0,1927.0,2998.0,390.0,2025.0
2020-05-13,7223.0,157.0,1941.0,3009.0,390.0,2025.0
2020-05-14,7309.0,157.0,1966.0,3048.0,398.0,2186.0
2020-05-15,7362.0,157.0,1990.0,3065.0,400.0,2308.0
2020-05-16,7442.0,159.0,2020.0,3071.0,400.0,2349.0
2020-05-17,7482.0,159.0,2034.0,3082.0,404.0,2443.0
2020-05-18,7531.0,160.0,2043.0,3125.0,412.0,2517.0
2020-05-19,7584.0,161.0,2069.0,3153.0,416.0,2598.0
2020-05-20,7619.0,161.0,2082.0,3162.0,423.0,2637.0
2020-05-21,7647.0,161.0,2086.0,3198.0,436.0,2684.0
2020-05-22,7699.0,160.0,2098.0,3212.0,454.0,2775.0
2020-05-23,7766.0,161.0,2110.0,3212.0,467.0,2858.0
2020-05-24,7821.0,161.0,2130.0,3240.0,481.0,2965.0
2020-05-25,7881.0,161.0,2140.0,3249.0,498.0,3066.0
2020-05-26,7898.0,161.0,2143.0,3297.0,507.0,3123.0
