date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-03-26,48.0,1579.0,33.0,186.0,778.0,67.0,24.0,61.0
2020-03-27,76.0,1830.0,42.0,231.0,913.0,86.0,27.0,72.0
2020-03-28,82.0,2079.0,49.0,282.0,912.0,108.0,33.0,100.0
2020-03-29,90.0,2163.0,56.0,318.0,1067.0,140.0,36.0,147.0
2020-03-30,110.0,2332.0,63.0,353.0,1126.0,140.0,43.0,147.0
2020-03-31,116.0,2332.0,63.0,353.0,1228.0,140.0,48.0,147.0
2020-04-01,130.0,2498.0,74.0,424.0,1304.0,145.0,51.0,200.0
2020-04-02,131.0,2658.0,85.0,499.0,1375.0,186.0,55.0,216.0
2020-04-03,137.0,2789.0,95.0,578.0,1449.0,194.0,58.0,289.0
2020-04-04,137.0,2900.0,95.0,627.0,1502.0,209.0,64.0,289.0
2020-04-05,145.0,3169.0,102.0,695.0,1558.0,219.0,67.0,363.0
2020-04-06,168.0,3333.0,111.0,724.0,1602.0,226.0,72.0,380.0
2020-04-07,185.0,3488.0,119.0,767.0,1658.0,231.0,74.0,400.0
2020-04-08,190.0,3690.0,119.0,802.0,1694.0,231.0,77.0,400.0
2020-04-09,194.0,3888.0,123.0,845.0,1701.0,246.0,81.0,447.0
2020-04-10,220.0,4119.0,128.0,882.0,1801.0,255.0,81.0,447.0
2020-04-11,220.0,4264.0,132.0,931.0,1834.0,255.0,81.0,535.0
2020-04-12,220.0,4428.0,132.0,940.0,1866.0,278.0,81.0,535.0
2020-04-13,239.0,4551.0,132.0,984.0,1907.0,280.0,81.0,573.0
2020-04-14,250.0,4622.0,132.0,1023.0,1949.0,282.0,82.0,635.0
2020-04-15,258.0,4699.0,132.0,1051.0,1987.0,290.0,82.0,674.0
2020-04-16,265.0,4811.0,132.0,1092.0,2031.0,297.0,86.0,707.0
2020-04-17,277.0,4904.0,135.0,1126.0,2055.0,302.0,89.0,759.0
2020-04-18,277.0,5065.0,136.0,1197.0,2092.0,306.0,93.0,759.0
2020-04-19,277.0,5174.0,138.0,1229.0,2142.0,311.0,94.0,771.0
2020-04-20,296.0,5295.0,139.0,1258.0,2162.0,317.0,94.0,868.0
2020-04-21,306.0,5381.0,140.0,1290.0,2162.0,319.0,94.0,868.0
2020-04-22,313.0,5451.0,140.0,1315.0,2208.0,321.0,95.0,868.0
2020-04-23,321.0,5571.0,144.0,1343.0,2239.0,326.0,96.0,952.0
2020-04-24,321.0,5691.0,144.0,1370.0,2267.0,330.0,98.0,952.0
2020-04-25,327.0,5813.0,146.0,1394.0,2297.0,345.0,101.0,1066.0
2020-04-26,327.0,5914.0,146.0,1408.0,2311.0,351.0,100.0,1085.0
2020-04-27,339.0,5992.0,148.0,1449.0,2355.0,353.0,100.0,1085.0
2020-04-28,343.0,6056.0,148.0,1494.0,2370.0,354.0,100.0,1135.0
2020-04-29,351.0,6184.0,148.0,1519.0,2416.0,357.0,104.0,1197.0
2020-04-30,359.0,6310.0,151.0,1554.0,2446.0,366.0,105.0,1237.0
2020-05-01,361.0,6409.0,152.0,1587.0,2466.0,371.0,110.0,1293.0
2020-05-02,361.0,6507.0,152.0,1620.0,2492.0,371.0,111.0,1293.0
