date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-03-26,5.0,111.0,0.0,4.0,18.0,0.0,0.0,2.0
2020-03-27,6.0,127.0,1.0,5.0,23.0,1.0,0.0,2.0
2020-03-28,6.0,138.0,1.0,5.0,23.0,2.0,0.0,2.0
2020-03-29,6.0,146.0,1.0,6.0,23.0,4.0,0.0,3.0
2020-03-30,6.0,152.0,1.0,6.0,30.0,4.0,0.0,3.0
2020-03-31,6.0,152.0,1.0,6.0,32.0,4.0,0.0,3.0
2020-04-01,6.0,166.0,1.0,7.0,39.0,4.0,0.0,3.0
2020-04-02,8.0,177.0,0.0,7.0,39.0,5.0,0.0,6.0
2020-04-03,8.0,188.0,0.0,7.0,41.0,7.0,0.0,7.0
2020-04-04,8.0,204.0,0.0,8.0,44.0,10.0,1.0,7.0
2020-04-05,8.0,210.0,0.0,10.0,48.0,11.0,1.0,12.0
2020-04-06,11.0,224.0,1.0,12.0,57.0,12.0,1.0,12.0
2020-04-07,13.0,232.0,1.0,14.0,60.0,13.0,1.0,17.0
2020-04-08,13.0,246.0,1.0,16.0,61.0,13.0,1.0,18.0
2020-04-09,13.0,260.0,1.0,17.0,63.0,14.0,1.0,19.0
2020-04-10,14.0,279.0,1.0,19.0,66.0,14.0,1.0,19.0
2020-04-11,14.0,286.0,1.0,19.0,67.0,14.0,1.0,21.0
2020-04-12,14.0,294.0,1.0,20.0,69.0,14.0,1.0,21.0
2020-04-13,15.0,298.0,1.0,20.0,73.0,15.0,1.0,23.0
2020-04-14,15.0,305.0,1.0,23.0,77.0,17.0,1.0,29.0
2020-04-15,15.0,314.0,1.0,28.0,80.0,17.0,1.0,29.0
2020-04-16,15.0,322.0,1.0,30.0,85.0,17.0,1.0,29.0
2020-04-17,16.0,333.0,1.0,30.0,87.0,17.0,1.0,34.0
2020-04-18,16.0,342.0,1.0,32.0,92.0,17.0,1.0,35.0
2020-04-19,16.0,348.0,1.0,32.0,92.0,17.0,1.0,36.0
2020-04-20,16.0,362.0,1.0,34.0,96.0,17.0,1.0,38.0
2020-04-21,16.0,374.0,2.0,36.0,98.0,19.0,1.0,38.0
2020-04-22,16.0,381.0,2.0,40.0,98.0,19.0,1.0,38.0
2020-04-23,17.0,386.0,2.0,44.0,99.0,19.0,1.0,42.0
2020-04-24,17.0,393.0,2.0,47.0,102.0,19.0,1.0,43.0
2020-04-25,19.0,401.0,2.0,47.0,103.0,19.0,1.0,44.0
2020-04-26,19.0,410.0,2.0,48.0,104.0,19.0,1.0,45.0
2020-04-27,21.0,418.0,2.0,49.0,106.0,19.0,1.0,45.0
2020-04-28,21.0,429.0,2.0,51.0,106.0,20.0,1.0,48.0
2020-04-29,21.0,438.0,2.0,51.0,106.0,20.0,1.0,48.0
2020-04-30,21.0,448.0,2.0,51.0,108.0,22.0,1.0,49.0
2020-05-01,21.0,451.0,2.0,51.0,108.0,22.0,1.0,48.0
2020-05-02,21.0,456.0,2.0,52.0,108.0,22.0,1.0,48.0
2020-05-03,21.0,461.0,2.0,52.0,108.0,22.0,1.0,48.0
2020-05-04,21.0,465.0,2.0,52.0,110.0,22.0,1.0,48.0
2020-05-05,22.0,471.0,2.0,54.0,110.0,23.0,1.0,49.0
2020-05-06,23.0,476.0,2.0,54.0,112.0,23.0,1.0,52.0
2020-05-07,23.0,482.0,2.0,57.0,114.0,25.0,1.0,57.0
2020-05-08,23.0,487.0,2.0,58.0,114.0,28.0,1.0,58.0
2020-05-09,23.0,492.0,2.0,60.0,114.0,28.0,1.0,58.0
2020-05-10,23.0,502.0,2.0,60.0,116.0,28.0,1.0,59.0
2020-05-11,24.0,507.0,2.0,62.0,118.0,29.0,1.0,63.0
2020-05-12,24.0,513.0,2.0,63.0,119.0,29.0,1.0,67.0
2020-05-13,24.0,516.0,2.0,63.0,119.0,29.0,1.0,67.0
2020-05-14,24.0,516.0,2.0,65.0,121.0,30.0,1.0,73.0
2020-05-15,25.0,523.0,2.0,66.0,125.0,30.0,1.0,76.0
2020-05-16,25.0,528.0,2.0,68.0,125.0,30.0,1.0,76.0
2020-05-17,25.0,529.0,2.0,68.0,125.0,30.0,1.0,76.0
2020-05-18,25.0,530.0,2.0,68.0,125.0,30.0,1.0,77.0
2020-05-19,25.0,536.0,2.0,70.0,131.0,31.0,1.0,81.0
2020-05-20,25.0,536.0,2.0,71.0,131.0,31.0,1.0,81.0
2020-05-21,25.0,541.0,2.0,72.0,132.0,31.0,1.0,83.0
2020-05-22,25.0,544.0,2.0,73.0,134.0,31.0,1.0,83.0
2020-05-23,25.0,544.0,2.0,73.0,134.0,31.0,1.0,83.0
2020-05-24,25.0,549.0,2.0,74.0,134.0,31.0,1.0,84.0
2020-05-25,25.0,552.0,2.0,74.0,135.0,31.0,1.0,87.0
2020-05-26,25.0,554.0,2.0,75.0,143.0,31.0,1.0,91.0
2020-05-27,25.0,561.0,2.0,76.0,145.0,31.0,1.0,91.0
2020-05-28,25.0,564.0,2.0,78.0,147.0,31.0,1.0,93.0
2020-05-29,25.0,566.0,2.0,78.0,147.0,32.0,1.0,94.0
2020-05-30,25.0,569.0,2.0,79.0,147.0,32.0,2.0,95.0
2020-05-31,25.0,569.0,2.0,79.0,147.0,32.0,2.0,95.0
2020-06-01,25.0,571.0,2.0,79.0,148.0,33.0,2.0,95.0
2020-06-02,25.0,572.0,2.0,81.0,149.0,34.0,2.0,96.0
2020-06-03,25.0,575.0,2.0,82.0,150.0,34.0,2.0,97.0
2020-06-04,25.0,576.0,2.0,83.0,152.0,34.0,2.0,97.0
2020-06-05,27.0,578.0,2.0,84.0,151.0,35.0,2.0,99.0
2020-06-06,27.0,578.0,2.0,85.0,152.0,35.0,2.0,100.0
2020-06-07,27.0,580.0,2.0,85.0,151.0,35.0,2.0,100.0
2020-06-08,28.0,581.0,2.0,85.0,152.0,35.0,3.0,101.0
2020-06-09,28.0,582.0,2.0,87.0,154.0,37.0,4.0,104.0
2020-06-10,28.0,582.0,2.0,87.0,154.0,37.0,4.0,104.0
2020-06-11,28.0,585.0,2.0,87.0,155.0,37.0,4.0,112.0
2020-06-12,28.0,588.0,2.0,88.0,155.0,37.0,4.0,114.0
2020-06-13,28.0,593.0,2.0,88.0,155.0,37.0,4.0,117.0
2020-06-14,28.0,593.0,2.0,89.0,155.0,37.0,4.0,120.0
2020-06-15,28.0,594.0,2.0,89.0,155.0,37.0,4.0,121.0
2020-06-16,28.0,597.0,2.0,89.0,157.0,37.0,5.0,124.0
2020-06-17,28.0,593.0,2.0,89.0,158.0,37.0,5.0,122.0
2020-06-18,28.0,599.0,2.0,89.0,159.0,37.0,5.0,128.0
2020-06-19,29.0,602.0,2.0,90.0,161.0,37.0,6.0,131.0
2020-06-20,29.0,603.0,2.0,92.0,162.0,38.0,5.0,136.0
2020-06-21,30.0,602.0,2.0,93.0,162.0,38.0,5.0,138.0
2020-06-22,30.0,604.0,2.0,92.0,163.0,39.0,7.0,138.0
2020-06-23,30.0,606.0,2.0,93.0,163.0,38.0,7.0,142.0
2020-06-24,30.0,606.0,2.0,96.0,164.0,38.0,7.0,146.0
2020-06-25,30.0,608.0,2.0,97.0,164.0,38.0,7.0,149.0
2020-06-26,30.0,609.0,2.0,97.0,166.0,39.0,7.0,150.0
2020-06-27,30.0,612.0,2.0,97.0,167.0,39.0,7.0,152.0
2020-06-28,30.0,612.0,2.0,97.0,167.0,39.0,7.0,152.0
2020-06-29,30.0,612.0,2.0,98.0,169.0,39.0,7.0,154.0
2020-06-30,30.0,612.0,2.0,101.0,170.0,40.0,7.0,158.0
2020-07-01,30.0,614.0,2.0,104.0,170.0,41.0,7.0,159.0
2020-07-02,30.0,617.0,2.0,104.0,170.0,41.0,7.0,159.0
2020-07-03,30.0,620.0,2.0,105.0,172.0,41.0,7.0,160.0
2020-07-04,30.0,621.0,2.0,105.0,172.0,41.0,7.0,160.0
2020-07-05,30.0,622.0,2.0,107.0,174.0,41.0,7.0,160.0
2020-07-06,30.0,624.0,2.0,108.0,175.0,41.0,8.0,165.0
2020-07-07,30.0,628.0,2.0,110.0,175.0,42.0,8.0,168.0
2020-07-08,30.0,630.0,2.0,111.0,177.0,42.0,8.0,174.0
2020-07-09,31.0,634.0,2.0,111.0,177.0,43.0,8.0,178.0
2020-07-10,32.0,635.0,2.0,112.0,178.0,43.0,8.0,185.0
2020-07-11,32.0,635.0,2.0,112.0,178.0,43.0,8.0,185.0
2020-07-12,32.0,639.0,2.0,113.0,178.0,43.0,8.0,190.0
2020-07-13,33.0,639.0,2.0,113.0,178.0,43.0,8.0,190.0
2020-07-14,33.0,645.0,2.0,114.0,180.0,43.0,8.0,196.0
2020-07-15,33.0,651.0,2.0,114.0,182.0,44.0,8.0,200.0
2020-07-16,33.0,652.0,2.0,114.0,182.0,45.0,8.0,203.0
2020-07-17,34.0,652.0,2.0,116.0,184.0,46.0,8.0,204.0
2020-07-18,34.0,658.0,2.0,116.0,185.0,46.0,8.0,206.0
2020-07-19,34.0,656.0,2.0,119.0,184.0,46.0,8.0,208.0
2020-07-20,37.0,657.0,3.0,120.0,185.0,46.0,8.0,208.0
2020-07-21,38.0,659.0,3.0,121.0,184.0,46.0,8.0,207.0
2020-07-22,37.0,659.0,3.0,121.0,184.0,47.0,9.0,207.0
2020-07-23,37.0,659.0,3.0,123.0,185.0,49.0,9.0,207.0
2020-07-24,39.0,662.0,4.0,131.0,194.0,50.0,7.0,209.0
2020-07-25,39.0,663.0,3.0,132.0,194.0,49.0,7.0,207.0
2020-07-26,39.0,663.0,3.0,132.0,195.0,51.0,7.0,207.0
2020-07-27,39.0,664.0,4.0,132.0,194.0,53.0,7.0,210.0
2020-07-28,39.0,667.0,5.0,131.0,195.0,57.0,8.0,216.0
2020-07-29,41.0,667.0,4.0,133.0,198.0,59.0,9.0,215.0
2020-07-30,41.0,668.0,4.0,134.0,197.0,60.0,9.0,217.0
2020-07-31,42.0,668.0,4.0,134.0,197.0,60.0,9.0,217.0
2020-08-01,44.0,674.0,5.0,135.0,200.0,63.0,9.0,217.0
2020-08-02,44.0,676.0,5.0,135.0,200.0,63.0,9.0,217.0
2020-08-03,44.0,677.0,5.0,137.0,201.0,64.0,9.0,218.0
2020-08-04,44.0,678.0,5.0,138.0,202.0,70.0,11.0,223.0
2020-08-05,44.0,678.0,5.0,137.0,202.0,70.0,11.0,223.0
2020-08-06,44.0,682.0,5.0,144.0,202.0,70.0,11.0,223.0
2020-08-07,44.0,689.0,6.0,145.0,202.0,82.0,12.0,224.0
2020-08-08,44.0,694.0,6.0,148.0,202.0,82.0,12.0,224.0
2020-08-09,45.0,693.0,8.0,149.0,203.0,92.0,12.0,225.0
2020-08-10,45.0,695.0,8.0,149.0,204.0,93.0,12.0,225.0
2020-08-11,45.0,698.0,8.0,151.0,204.0,93.0,12.0,225.0
2020-08-12,45.0,699.0,8.0,153.0,204.0,93.0,12.0,225.0
2020-08-13,48.0,705.0,8.0,154.0,210.0,98.0,12.0,230.0
2020-08-14,48.0,705.0,8.0,156.0,210.0,98.0,12.0,230.0
2020-08-15,49.0,708.0,8.0,156.0,213.0,104.0,12.0,231.0
2020-08-16,51.0,713.0,8.0,156.0,215.0,109.0,12.0,231.0
2020-08-17,51.0,713.0,8.0,157.0,215.0,112.0,12.0,234.0
