date,Benton,Chelan,Douglas,Franklin,Okanogan,Walla Walla,Whitman,Clallam,Island,Jefferson,Lewis,San Juan,Skagit,Whatcom
2020-03-26,19.0,11.0,5.0,7.0,1.0,3.0,3.0,5.0,64.0,11.0,5.0,3.0,78.0,86.0
2020-03-27,42.0,14.0,5.0,12.0,2.0,3.0,5.0,5.0,79.0,11.0,7.0,3.0,91.0,92.0
2020-03-28,56.0,14.0,5.0,16.0,3.0,4.0,6.0,5.0,92.0,13.0,7.0,4.0,97.0,102.0
2020-03-29,101.0,15.0,5.0,32.0,3.0,7.0,6.0,6.0,95.0,14.0,10.0,4.0,101.0,116.0
2020-03-30,101.0,15.0,5.0,32.0,3.0,7.0,6.0,6.0,95.0,14.0,10.0,4.0,101.0,116.0
2020-03-31,101.0,15.0,5.0,33.0,3.0,7.0,6.0,6.0,106.0,14.0,10.0,4.0,101.0,116.0
2020-04-01,108.0,15.0,5.0,33.0,3.0,8.0,10.0,8.0,114.0,17.0,10.0,6.0,143.0,144.0
2020-04-02,133.0,19.0,6.0,43.0,4.0,9.0,11.0,8.0,119.0,19.0,12.0,6.0,153.0,175.0
2020-04-03,136.0,20.0,7.0,45.0,4.0,9.0,11.0,8.0,122.0,19.0,12.0,6.0,160.0,182.0
2020-04-04,151.0,23.0,10.0,49.0,7.0,9.0,11.0,8.0,130.0,20.0,12.0,7.0,161.0,199.0
2020-04-05,166.0,29.0,10.0,59.0,9.0,12.0,11.0,8.0,132.0,22.0,16.0,7.0,161.0,224.0
2020-04-06,175.0,34.0,10.0,64.0,9.0,14.0,13.0,8.0,142.0,27.0,16.0,10.0,166.0,228.0
2020-04-07,179.0,34.0,10.0,75.0,10.0,17.0,13.0,9.0,145.0,27.0,16.0,11.0,169.0,238.0
2020-04-08,190.0,35.0,12.0,75.0,12.0,17.0,13.0,10.0,149.0,27.0,17.0,12.0,169.0,238.0
2020-04-09,215.0,43.0,13.0,93.0,12.0,17.0,13.0,11.0,151.0,28.0,18.0,12.0,178.0,243.0
2020-04-10,234.0,45.0,16.0,107.0,14.0,21.0,13.0,11.0,155.0,28.0,18.0,12.0,178.0,250.0
2020-04-11,246.0,54.0,16.0,112.0,14.0,21.0,13.0,12.0,157.0,28.0,18.0,13.0,187.0,252.0
2020-04-12,250.0,55.0,18.0,120.0,14.0,21.0,13.0,12.0,158.0,28.0,18.0,13.0,191.0,263.0
2020-04-13,261.0,60.0,20.0,129.0,15.0,22.0,12.0,12.0,158.0,28.0,17.0,13.0,195.0,263.0
2020-04-14,266.0,62.0,29.0,138.0,15.0,25.0,13.0,12.0,162.0,28.0,19.0,13.0,203.0,265.0
2020-04-15,273.0,62.0,29.0,142.0,15.0,26.0,13.0,14.0,163.0,28.0,19.0,13.0,209.0,269.0
2020-04-16,284.0,63.0,32.0,156.0,14.0,27.0,13.0,15.0,163.0,28.0,19.0,13.0,218.0,271.0
2020-04-17,295.0,67.0,30.0,167.0,14.0,28.0,14.0,14.0,165.0,28.0,21.0,15.0,226.0,271.0
2020-04-18,306.0,68.0,31.0,177.0,14.0,28.0,15.0,14.0,166.0,29.0,21.0,15.0,230.0,273.0
2020-04-19,314.0,72.0,32.0,187.0,14.0,28.0,15.0,14.0,166.0,28.0,21.0,15.0,238.0,277.0
2020-04-20,334.0,78.0,59.0,198.0,14.0,36.0,15.0,14.0,166.0,28.0,21.0,14.0,255.0,278.0
2020-04-21,338.0,79.0,61.0,207.0,14.0,36.0,15.0,14.0,168.0,28.0,21.0,14.0,255.0,280.0
2020-04-22,348.0,88.0,61.0,212.0,14.0,36.0,15.0,14.0,168.0,28.0,22.0,16.0,271.0,280.0
2020-04-23,365.0,92.0,63.0,233.0,18.0,52.0,16.0,14.0,168.0,28.0,25.0,14.0,281.0,282.0
2020-04-24,383.0,92.0,69.0,242.0,18.0,52.0,16.0,14.0,168.0,28.0,25.0,14.0,283.0,282.0
2020-04-25,399.0,93.0,70.0,250.0,19.0,57.0,16.0,15.0,168.0,28.0,29.0,14.0,287.0,284.0
2020-04-26,405.0,94.0,72.0,251.0,19.0,57.0,16.0,15.0,168.0,28.0,29.0,14.0,299.0,288.0
2020-04-27,409.0,97.0,75.0,259.0,20.0,57.0,16.0,15.0,171.0,28.0,29.0,14.0,309.0,290.0
2020-04-28,415.0,100.0,75.0,265.0,21.0,62.0,16.0,17.0,172.0,28.0,29.0,14.0,309.0,293.0
2020-04-29,418.0,102.0,77.0,276.0,26.0,68.0,16.0,18.0,172.0,28.0,29.0,14.0,322.0,294.0
2020-04-30,430.0,111.0,78.0,279.0,26.0,77.0,16.0,18.0,172.0,28.0,29.0,14.0,338.0,304.0
2020-05-01,461.0,114.0,79.0,309.0,25.0,86.0,16.0,18.0,175.0,28.0,29.0,14.0,345.0,311.0
2020-05-02,494.0,117.0,82.0,348.0,25.0,88.0,16.0,18.0,175.0,28.0,29.0,14.0,345.0,311.0
2020-05-03,518.0,123.0,82.0,363.0,25.0,88.0,16.0,19.0,175.0,28.0,29.0,14.0,354.0,316.0
2020-05-04,532.0,123.0,84.0,377.0,25.0,92.0,16.0,18.0,175.0,28.0,29.0,14.0,357.0,317.0
2020-05-05,537.0,128.0,84.0,379.0,25.0,93.0,16.0,19.0,175.0,28.0,29.0,14.0,364.0,318.0
2020-05-06,660.0,138.0,95.0,487.0,25.0,96.0,16.0,19.0,178.0,28.0,29.0,14.0,379.0,324.0
2020-05-07,665.0,142.0,98.0,501.0,25.0,97.0,16.0,19.0,179.0,28.0,30.0,14.0,389.0,328.0
2020-05-08,675.0,143.0,102.0,507.0,25.0,97.0,16.0,19.0,179.0,28.0,30.0,14.0,391.0,329.0
2020-05-09,695.0,146.0,107.0,513.0,27.0,99.0,16.0,19.0,179.0,29.0,30.0,15.0,397.0,330.0
2020-05-10,705.0,152.0,117.0,516.0,27.0,99.0,16.0,19.0,179.0,29.0,30.0,15.0,401.0,333.0
2020-05-11,719.0,153.0,117.0,525.0,27.0,104.0,16.0,19.0,179.0,29.0,30.0,15.0,402.0,338.0
2020-05-12,723.0,154.0,117.0,530.0,31.0,106.0,16.0,19.0,181.0,29.0,32.0,15.0,406.0,340.0
2020-05-13,732.0,165.0,120.0,531.0,31.0,107.0,16.0,19.0,181.0,29.0,32.0,15.0,411.0,344.0
2020-05-14,752.0,169.0,123.0,544.0,33.0,106.0,17.0,19.0,181.0,29.0,32.0,15.0,411.0,344.0
2020-05-15,760.0,177.0,126.0,552.0,35.0,106.0,18.0,21.0,181.0,29.0,32.0,15.0,423.0,344.0
2020-05-16,773.0,178.0,127.0,564.0,39.0,107.0,18.0,21.0,181.0,30.0,34.0,15.0,425.0,347.0
2020-05-17,775.0,181.0,127.0,572.0,40.0,108.0,18.0,21.0,181.0,30.0,34.0,15.0,425.0,347.0
2020-05-18,791.0,183.0,131.0,577.0,40.0,107.0,18.0,21.0,181.0,30.0,35.0,15.0,426.0,358.0
2020-05-19,801.0,187.0,131.0,587.0,42.0,106.0,18.0,21.0,181.0,30.0,35.0,15.0,426.0,359.0
2020-05-20,808.0,187.0,131.0,593.0,44.0,106.0,19.0,21.0,181.0,30.0,35.0,15.0,426.0,359.0
2020-05-21,811.0,203.0,138.0,605.0,44.0,106.0,19.0,21.0,181.0,30.0,35.0,15.0,426.0,359.0
2020-05-22,826.0,209.0,141.0,612.0,44.0,106.0,19.0,25.0,181.0,30.0,35.0,15.0,426.0,363.0
2020-05-23,826.0,222.0,147.0,612.0,44.0,106.0,19.0,25.0,181.0,30.0,35.0,15.0,426.0,368.0
2020-05-24,825.0,234.0,157.0,612.0,44.0,107.0,19.0,25.0,181.0,30.0,35.0,15.0,426.0,368.0
2020-05-25,868.0,237.0,159.0,641.0,44.0,108.0,19.0,25.0,181.0,30.0,35.0,15.0,426.0,368.0
2020-05-26,890.0,239.0,159.0,649.0,46.0,108.0,20.0,25.0,180.0,30.0,35.0,15.0,427.0,378.0
2020-05-27,899.0,244.0,162.0,661.0,46.0,108.0,20.0,25.0,180.0,30.0,35.0,15.0,428.0,380.0
2020-05-28,910.0,246.0,164.0,668.0,49.0,108.0,20.0,25.0,180.0,30.0,35.0,15.0,428.0,383.0
2020-05-29,925.0,252.0,168.0,694.0,49.0,109.0,20.0,25.0,180.0,30.0,35.0,15.0,430.0,383.0
2020-05-30,944.0,254.0,170.0,694.0,49.0,109.0,20.0,25.0,180.0,30.0,36.0,15.0,432.0,392.0
2020-05-31,962.0,256.0,172.0,704.0,49.0,109.0,20.0,25.0,180.0,30.0,37.0,15.0,434.0,396.0
2020-06-01,980.0,256.0,173.0,760.0,50.0,110.0,20.0,25.0,181.0,31.0,37.0,15.0,435.0,398.0
2020-06-02,999.0,258.0,173.0,786.0,53.0,110.0,20.0,25.0,181.0,31.0,37.0,15.0,438.0,401.0
2020-06-03,1017.0,261.0,174.0,800.0,53.0,111.0,20.0,27.0,181.0,31.0,37.0,15.0,443.0,402.0
2020-06-04,1029.0,261.0,176.0,834.0,61.0,111.0,20.0,27.0,181.0,31.0,37.0,15.0,446.0,404.0
2020-06-05,1065.0,265.0,180.0,855.0,66.0,113.0,20.0,27.0,181.0,31.0,37.0,15.0,450.0,405.0
2020-06-06,1076.0,265.0,180.0,855.0,66.0,113.0,20.0,27.0,181.0,31.0,37.0,15.0,449.0,409.0
2020-06-07,1100.0,265.0,180.0,859.0,66.0,116.0,26.0,27.0,181.0,31.0,37.0,15.0,449.0,410.0
2020-06-08,1153.0,266.0,180.0,943.0,67.0,117.0,26.0,27.0,182.0,31.0,37.0,15.0,450.0,419.0
2020-06-09,1165.0,268.0,181.0,956.0,67.0,119.0,26.0,27.0,181.0,31.0,37.0,15.0,450.0,420.0
2020-06-10,1185.0,272.0,181.0,979.0,68.0,118.0,27.0,29.0,182.0,31.0,37.0,15.0,450.0,420.0
2020-06-11,1221.0,272.0,181.0,1008.0,68.0,118.0,28.0,29.0,182.0,31.0,37.0,15.0,452.0,428.0
2020-06-12,1263.0,275.0,181.0,1034.0,74.0,118.0,29.0,29.0,182.0,31.0,38.0,15.0,454.0,436.0
2020-06-13,1263.0,275.0,181.0,1034.0,74.0,118.0,29.0,29.0,182.0,31.0,38.0,15.0,457.0,440.0
2020-06-14,1263.0,275.0,185.0,1034.0,74.0,118.0,29.0,29.0,182.0,31.0,38.0,15.0,461.0,448.0
2020-06-15,1341.0,276.0,183.0,1083.0,74.0,122.0,29.0,29.0,183.0,32.0,39.0,15.0,463.0,453.0
2020-06-16,1389.0,277.0,187.0,1144.0,74.0,125.0,29.0,29.0,183.0,32.0,40.0,16.0,464.0,455.0
2020-06-17,1407.0,279.0,187.0,1180.0,79.0,127.0,30.0,32.0,184.0,32.0,41.0,16.0,469.0,457.0
2020-06-18,1438.0,282.0,189.0,1218.0,79.0,129.0,31.0,32.0,184.0,32.0,43.0,16.0,474.0,467.0
2020-06-19,1495.0,284.0,190.0,1264.0,82.0,131.0,32.0,33.0,186.0,33.0,47.0,16.0,479.0,474.0
2020-06-20,1495.0,284.0,190.0,1264.0,82.0,132.0,32.0,33.0,188.0,33.0,47.0,17.0,482.0,486.0
2020-06-21,1495.0,286.0,193.0,1278.0,82.0,141.0,32.0,33.0,188.0,33.0,49.0,18.0,485.0,499.0
2020-06-22,1608.0,287.0,196.0,1450.0,82.0,143.0,34.0,33.0,187.0,33.0,49.0,19.0,485.0,499.0
2020-06-23,1634.0,294.0,199.0,1450.0,82.0,144.0,33.0,33.0,187.0,33.0,50.0,19.0,486.0,521.0
2020-06-24,1692.0,297.0,205.0,1540.0,88.0,147.0,34.0,33.0,188.0,35.0,52.0,20.0,488.0,554.0
2020-06-25,1725.0,299.0,210.0,1587.0,88.0,148.0,35.0,33.0,191.0,36.0,53.0,19.0,491.0,574.0
2020-06-26,1756.0,308.0,216.0,1627.0,90.0,152.0,36.0,34.0,191.0,36.0,57.0,19.0,493.0,588.0
2020-06-27,1827.0,315.0,223.0,1692.0,93.0,152.0,37.0,35.0,192.0,37.0,60.0,19.0,502.0,599.0
2020-06-28,1856.0,316.0,230.0,1715.0,93.0,158.0,37.0,36.0,192.0,37.0,64.0,19.0,503.0,600.0
2020-06-29,1889.0,326.0,233.0,1750.0,93.0,164.0,38.0,36.0,192.0,38.0,64.0,19.0,512.0,615.0
2020-06-30,1904.0,336.0,239.0,1777.0,115.0,169.0,39.0,36.0,192.0,38.0,65.0,19.0,519.0,622.0
2020-07-01,2051.0,348.0,245.0,1842.0,116.0,171.0,41.0,36.0,195.0,38.0,68.0,19.0,527.0,635.0
2020-07-02,2026.0,376.0,253.0,1887.0,118.0,176.0,41.0,41.0,195.0,38.0,71.0,19.0,528.0,649.0
2020-07-03,2059.0,389.0,265.0,1930.0,118.0,176.0,43.0,42.0,196.0,38.0,70.0,19.0,532.0,659.0
2020-07-04,2085.0,393.0,273.0,1977.0,118.0,177.0,43.0,42.0,197.0,38.0,75.0,19.0,549.0,663.0
2020-07-05,2126.0,404.0,279.0,2035.0,134.0,187.0,43.0,43.0,198.0,39.0,75.0,19.0,549.0,667.0
2020-07-06,2207.0,437.0,303.0,2175.0,152.0,192.0,46.0,45.0,198.0,41.0,77.0,20.0,557.0,673.0
2020-07-07,2263.0,444.0,310.0,2250.0,159.0,196.0,47.0,46.0,198.0,41.0,78.0,20.0,558.0,681.0
2020-07-08,2294.0,483.0,325.0,2276.0,160.0,201.0,49.0,46.0,201.0,41.0,79.0,20.0,567.0,685.0
2020-07-09,2353.0,493.0,334.0,2344.0,161.0,205.0,49.0,47.0,202.0,41.0,85.0,20.0,571.0,689.0
2020-07-10,2407.0,516.0,351.0,2409.0,191.0,212.0,52.0,50.0,203.0,41.0,89.0,20.0,573.0,692.0
2020-07-11,2407.0,516.0,351.0,2409.0,191.0,219.0,52.0,50.0,203.0,41.0,89.0,20.0,573.0,692.0
2020-07-12,2407.0,554.0,380.0,2409.0,203.0,219.0,52.0,56.0,206.0,41.0,94.0,20.0,605.0,710.0
