date,Benton,Chelan,Douglas,Franklin,Okanogan,Walla Walla,Whitman,Clallam,Island,Jefferson,Lewis,San Juan,Skagit,Whatcom
3/26/20,4,1,0,0,0,0,0,0,1,0,0,0,1,4
3/27/20,5,2,0,0,0,0,0,0,1,0,0,0,1,4
3/28/20,5,2,0,0,0,0,0,0,1,0,0,0,3,4
3/29/20,5,2,0,0,0,0,0,0,1,0,0,0,3,7
3/30/20,5,2,0,0,0,0,0,0,1,0,0,0,3,7
3/31/20,6,2,0,0,0,0,0,0,3,0,0,0,3,7
4/1/20,6,2,0,0,0,0,0,0,3,0,0,0,4,8
4/2/20,9,3,0,0,0,0,0,0,4,0,0,0,4,9
4/3/20,13,3,0,1,0,0,0,0,4,0,0,0,4,9
4/4/20,13,3,0,1,0,0,0,0,4,0,0,0,4,9
4/5/20,13,3,0,2,0,0,0,0,5,0,0,0,4,15
4/6/20,17,3,0,1,0,0,0,0,5,0,1,0,4,19
4/7/20,19,3,0,2,0,0,0,0,6,0,1,0,5,19
4/8/20,19,3,0,2,0,0,0,0,7,0,2,0,5,20
4/9/20,25,3,0,2,0,0,0,0,7,0,2,0,5,21
4/10/20,25,3,0,2,0,0,0,0,7,0,2,0,5,23
4/11/20,26,6,0,2,0,0,0,0,7,0,2,0,6,23
4/12/20,28,6,0,2,0,0,0,0,7,0,2,0,6,23
4/13/20,29,6,0,2,0,0,0,0,7,0,2,0,6,23
4/14/20,29,6,1,2,0,0,0,0,8,0,2,0,6,25
4/15/20,30,6,1,4,0,0,0,0,8,0,2,0,6,25
4/16/20,34,6,1,2,0,0,0,0,8,0,2,0,6,25
4/17/20,34,6,1,4,0,0,0,0,8,0,2,0,6,25
4/18/20,34,6,1,4,0,0,0,0,8,0,2,0,7,26
4/19/20,34,6,1,4,0,0,0,0,8,0,2,0,8,26
4/20/20,34,6,1,4,0,0,0,0,8,0,2,0,8,27
4/21/20,35,6,1,4,0,0,0,0,8,0,3,0,9,27
4/22/20,35,6,1,4,1,0,0,0,9,0,3,0,9,27
4/23/20,38,6,1,5,1,0,0,0,9,0,3,0,10,27
4/24/20,38,6,1,5,1,0,0,0,9,0,3,0,10,27
4/25/20,38,6,1,5,1,0,0,0,9,0,3,0,10,27
4/26/20,38,6,1,5,1,0,0,0,9,0,3,0,11,27
4/27/20,39,6,1,5,1,0,0,0,9,0,3,0,11,27
4/28/20,39,6,1,7,1,0,0,0,9,0,3,0,11,28
4/29/20,41,6,1,8,1,0,0,0,9,0,3,0,12,28
4/30/20,41,6,1,9,1,0,0,0,9,0,3,0,13,28
5/1/20,44,6,1,11,1,0,0,0,9,0,3,0,13,28
5/2/20,43,6,1,10,1,0,0,0,9,0,3,0,13,28
5/3/20,44,6,1,11,1,0,0,0,9,0,3,0,13,28
5/4/20,44,6,1,11,1,0,0,0,9,0,3,0,13,28
5/5/20,46,6,2,13,1,0,0,0,9,0,3,0,13,29
5/6/20,50,6,2,14,2,0,0,0,9,0,3,0,13,30
5/7/20,51,6,2,14,2,0,0,0,9,0,3,0,13,33
5/8/20,51,6,2,16,2,0,0,0,9,0,3,0,13,33
5/9/20,51,6,2,16,2,2,0,0,9,0,3,0,14,33
5/10/20,51,6,2,16,2,2,0,0,9,0,3,0,14,34
5/11/20,54,6,2,16,2,2,0,0,9,0,3,0,14,34
5/12/20,55,7,2,16,2,2,0,0,9,0,3,0,14,34
5/13/20,55,7,3,16,2,2,0,0,9,0,3,0,14,35
5/14/20,56,7,3,17,2,2,0,0,10,0,3,0,14,35
5/15/20,57,7,3,17,2,2,0,0,10,0,3,0,14,35
5/16/20,57,7,3,17,2,2,0,0,10,0,3,0,14,35
5/17/20,57,7,3,17,2,2,0,0,10,0,3,0,14,35
5/18/20,58,7,3,17,2,2,0,0,10,0,3,0,14,35
5/19/20,58,7,3,18,2,2,0,0,10,0,3,0,15,36
5/20/20,60,7,3,18,2,2,0,0,10,0,3,0,15,36
5/21/20,60,7,3,18,2,2,0,0,10,0,3,0,15,36
5/22/20,61,7,3,18,2,2,0,0,10,0,3,0,15,36
5/23/20,61,7,3,19,2,2,0,0,10,0,3,0,15,36
5/24/20,61,7,3,19,2,2,0,0,10,0,3,0,15,36
5/25/20,61,7,3,19,2,2,0,0,10,0,3,0,15,36
5/26/20,61,7,3,19,2,2,0,0,10,0,3,0,15,36
5/27/20,64,7,3,20,2,2,0,0,11,0,3,0,15,36
5/28/20,65,7,3,20,2,2,0,0,11,0,3,0,15,36
5/29/20,65,7,3,20,2,2,0,0,11,0,3,0,15,36
