date,King,Kitsap,Pierce,Snohomish,Spokane,Yakima
2020-03-26,111.0,0.0,4.0,18.0,0.0,2.0
2020-03-27,127.0,1.0,5.0,23.0,1.0,2.0
2020-03-28,138.0,1.0,5.0,23.0,2.0,2.0
2020-03-29,146.0,1.0,6.0,23.0,4.0,3.0
2020-03-30,152.0,1.0,6.0,30.0,4.0,3.0
2020-03-31,152.0,1.0,6.0,32.0,4.0,3.0
2020-04-01,166.0,1.0,7.0,39.0,4.0,3.0
2020-04-02,177.0,0.0,7.0,39.0,5.0,6.0
2020-04-03,188.0,0.0,7.0,41.0,7.0,7.0
2020-04-04,204.0,0.0,8.0,44.0,10.0,7.0
2020-04-05,210.0,0.0,10.0,48.0,11.0,12.0
2020-04-06,224.0,1.0,12.0,57.0,12.0,12.0
2020-04-07,232.0,1.0,14.0,60.0,13.0,17.0
2020-04-08,246.0,1.0,16.0,61.0,13.0,18.0
2020-04-09,260.0,1.0,17.0,63.0,14.0,19.0
2020-04-10,279.0,1.0,19.0,66.0,14.0,19.0
2020-04-11,286.0,1.0,19.0,67.0,14.0,21.0
2020-04-12,294.0,1.0,20.0,69.0,14.0,21.0
2020-04-13,298.0,1.0,20.0,73.0,15.0,23.0
2020-04-14,305.0,1.0,23.0,77.0,17.0,29.0
2020-04-15,314.0,1.0,28.0,80.0,17.0,29.0
2020-04-16,322.0,1.0,30.0,85.0,17.0,29.0
2020-04-17,333.0,1.0,30.0,87.0,17.0,34.0
2020-04-18,342.0,1.0,32.0,92.0,17.0,35.0
2020-04-19,348.0,1.0,32.0,92.0,17.0,36.0
2020-04-20,362.0,1.0,34.0,96.0,17.0,38.0
2020-04-21,374.0,2.0,36.0,98.0,19.0,38.0
2020-04-22,381.0,2.0,40.0,98.0,19.0,38.0
2020-04-23,386.0,2.0,44.0,99.0,19.0,42.0
2020-04-24,393.0,2.0,47.0,102.0,19.0,43.0
2020-04-25,401.0,2.0,47.0,103.0,19.0,44.0
2020-04-26,410.0,2.0,48.0,104.0,19.0,45.0
2020-04-27,418.0,2.0,49.0,106.0,19.0,45.0
2020-04-28,429.0,2.0,51.0,106.0,20.0,48.0
2020-04-29,438.0,2.0,51.0,106.0,20.0,48.0
2020-04-30,448.0,2.0,51.0,108.0,22.0,49.0
