date,0,Multnomah,1,2,San Diego,Denver,Clark,Maricopa
2020-03-26,133.0,2.0,32.0,34.0,3.0,3.0,10.0,4.0
2020-03-27,156.0,2.0,37.0,44.0,5.0,3.0,10.0,5.0
2020-03-28,167.0,2.0,46.0,50.0,7.0,5.0,14.0,5.0
2020-03-29,176.0,2.0,47.0,56.0,7.0,5.0,14.0,5.0
2020-03-30,189.0,2.0,52.0,64.0,7.0,6.0,15.0,5.0
2020-03-31,191.0,2.0,61.0,85.0,9.0,7.0,23.0,8.0
2020-04-01,213.0,3.0,65.0,99.0,15.0,8.0,28.0,8.0
2020-04-02,223.0,3.0,72.0,119.0,16.0,11.0,34.0,12.0
2020-04-03,236.0,3.0,82.0,136.0,17.0,14.0,39.0,17.0
2020-04-04,256.0,6.0,85.0,168.0,18.0,14.0,41.0,28.0
2020-04-05,268.0,7.0,86.0,184.0,19.0,16.0,41.0,31.0
2020-04-06,294.0,7.0,91.0,208.0,19.0,15.0,41.0,31.0
2020-04-07,307.0,7.0,106.0,235.0,31.0,31.0,54.0,35.0
2020-04-08,324.0,10.0,111.0,274.0,36.0,33.0,65.0,37.0
2020-04-09,341.0,13.0,114.0,304.0,40.0,38.0,71.0,39.0
2020-04-10,365.0,17.0,123.0,332.0,44.0,42.0,75.0,41.0
2020-04-11,373.0,18.0,128.0,359.0,45.0,46.0,96.0,47.0
2020-04-12,384.0,19.0,133.0,397.0,45.0,46.0,100.0,48.0
2020-04-13,392.0,19.0,141.0,430.0,47.0,51.0,101.0,52.0
2020-04-14,406.0,20.0,142.0,473.0,53.0,56.0,106.0,54.0
2020-04-15,423.0,22.0,171.0,530.0,60.0,61.0,115.0,60.0
2020-04-16,438.0,26.0,181.0,599.0,63.0,63.0,121.0,64.0
2020-04-17,451.0,28.0,191.0,660.0,70.0,66.0,124.0,69.0
2020-04-18,467.0,28.0,192.0,752.0,71.0,74.0,133.0,70.0
2020-04-19,473.0,28.0,194.0,777.0,71.0,75.0,137.0,75.0
2020-04-20,493.0,28.0,206.0,808.0,72.0,83.0,137.0,75.0
2020-04-21,510.0,29.0,212.0,869.0,87.0,91.0,141.0,84.0
2020-04-22,521.0,29.0,231.0,943.0,96.0,96.0,150.0,97.0
2020-04-23,531.0,33.0,238.0,1030.0,112.0,98.0,163.0,115.0
2020-04-24,544.0,35.0,245.0,1094.0,102.0,128.0,168.0,120.0
2020-04-25,553.0,35.0,252.0,1148.0,111.0,132.0,174.0,121.0
2020-04-26,564.0,37.0,253.0,1169.0,111.0,132.0,174.0,122.0
2020-04-27,575.0,37.0,266.0,1222.0,123.0,135.0,174.0,122.0
2020-04-28,588.0,40.0,274.0,1285.0,128.0,145.0,186.0,137.0
2020-04-29,597.0,42.0,276.0,1349.0,133.0,150.0,196.0,140.0
2020-04-30,609.0,43.0,290.0,1416.0,140.0,154.0,202.0,145.0
2020-05-01,612.0,44.0,298.0,1492.0,143.0,163.0,206.0,147.0
2020-05-02,618.0,46.0,300.0,1545.0,150.0,164.0,215.0,159.0
2020-05-03,623.0,46.0,301.0,1566.0,150.0,166.0,218.0,168.0
2020-05-04,629.0,46.0,307.0,1612.0,150.0,166.0,223.0,168.0
2020-05-05,637.0,49.0,314.0,1678.0,162.0,188.0,226.0,175.0
2020-05-06,644.0,50.0,321.0,1745.0,173.0,195.0,238.0,186.0
2020-05-07,655.0,52.0,322.0,1805.0,186.0,199.0,245.0,204.0
2020-05-08,661.0,52.0,332.0,1873.0,189.0,202.0,253.0,238.0
2020-05-09,668.0,53.0,344.0,1934.0,194.0,205.0,256.0,245.0
2020-05-10,680.0,53.0,351.0,1958.0,194.0,206.0,260.0,247.0
2020-05-11,689.0,53.0,352.0,2002.0,194.0,212.0,260.0,250.0
2020-05-12,697.0,53.0,355.0,2059.0,204.0,214.0,267.0,259.0
2020-05-13,700.0,53.0,362.0,2139.0,217.0,233.0,275.0,281.0
2020-05-14,704.0,55.0,364.0,2148.0,223.0,237.0,282.0,292.0
2020-05-15,716.0,55.0,369.0,2263.0,231.0,248.0,291.0,302.0
2020-05-16,723.0,55.0,372.0,2314.0,235.0,261.0,293.0,319.0
2020-05-17,724.0,55.0,373.0,2348.0,235.0,265.0,296.0,319.0
2020-05-18,725.0,55.0,373.0,2370.0,242.0,272.0,296.0,324.0
2020-05-19,739.0,55.0,377.0,2456.0,242.0,285.0,304.0,339.0
2020-05-20,740.0,57.0,387.0,2529.0,242.0,294.0,314.0,357.0
2020-05-21,747.0,57.0,392.0,2605.0,262.0,296.0,320.0,361.0
2020-05-22,753.0,58.0,396.0,2660.0,262.0,299.0,322.0,368.0
2020-05-23,753.0,58.0,398.0,2724.0,271.0,299.0,329.0,383.0
2020-05-24,759.0,58.0,399.0,2740.0,275.0,299.0,331.0,384.0
2020-05-25,763.0,58.0,400.0,2757.0,275.0,298.0,331.0,385.0
2020-05-26,774.0,58.0,407.0,2791.0,275.0,301.0,331.0,384.0
2020-05-27,784.0,58.0,411.0,2860.0,290.0,313.0,336.0,397.0
2020-05-28,791.0,59.0,412.0,2925.0,297.0,324.0,342.0,403.0
2020-05-29,793.0,59.0,420.0,2998.0,307.0,326.0,343.0,419.0
2020-05-30,797.0,59.0,421.0,3060.0,312.0,327.0,344.0,430.0
2020-05-31,797.0,59.0,422.0,3085.0,312.0,327.0,346.0,432.0
2020-06-01,800.0,59.0,429.0,3113.0,312.0,329.0,346.0,433.0
2020-06-02,804.0,61.0,431.0,3179.0,312.0,332.0,346.0,448.0
2020-06-03,809.0,62.0,431.0,3236.0,312.0,334.0,355.0,466.0
2020-06-04,813.0,62.0,431.0,3286.0,312.0,336.0,355.0,471.0
2020-06-05,815.0,63.0,431.0,3346.0,312.0,338.0,357.0,479.0
2020-06-06,817.0,65.0,435.0,3410.0,312.0,339.0,358.0,489.0
2020-06-07,818.0,65.0,436.0,3436.0,312.0,339.0,359.0,490.0
2020-06-08,820.0,65.0,438.0,3447.0,312.0,348.0,363.0,491.0
2020-06-09,825.0,66.0,457.0,3516.0,312.0,349.0,365.0,504.0
2020-06-10,825.0,66.0,457.0,3601.0,312.0,357.0,367.0,519.0
2020-06-11,829.0,66.0,458.0,3660.0,312.0,358.0,375.0,532.0
2020-06-12,833.0,67.0,465.0,3694.0,313.0,360.0,377.0,536.0
2020-06-13,838.0,67.0,465.0,3759.0,319.0,360.0,377.0,549.0
2020-06-14,839.0,68.0,469.0,3780.0,320.0,360.0,378.0,551.0
2020-06-15,840.0,68.0,469.0,3801.0,320.0,364.0,379.0,557.0
2020-06-16,845.0,68.0,477.0,3857.0,323.0,363.0,380.0,568.0
2020-06-17,842.0,68.0,483.0,3903.0,327.0,364.0,386.0,579.0
2020-06-18,849.0,68.0,489.0,3957.0,331.0,366.0,387.0,598.0
2020-06-19,855.0,68.0,495.0,4002.0,332.0,366.0,390.0,615.0
2020-06-20,859.0,68.0,495.0,4062.0,338.0,367.0,397.0,633.0
2020-06-21,859.0,68.0,504.0,4074.0,338.0,367.0,398.0,632.0
2020-06-22,861.0,68.0,506.0,4107.0,338.0,367.0,400.0,634.0
2020-06-23,864.0,68.0,508.0,4154.0,341.0,369.0,402.0,663.0
2020-06-24,868.0,68.0,515.0,4225.0,347.0,369.0,404.0,690.0
2020-06-25,871.0,70.0,526.0,4279.0,352.0,369.0,405.0,694.0
2020-06-26,874.0,70.0,531.0,4321.0,358.0,374.0,408.0,718.0
2020-06-27,878.0,71.0,532.0,4339.0,360.0,374.0,410.0,741.0
2020-06-28,878.0,71.0,537.0,4362.0,361.0,375.0,410.0,746.0
2020-06-29,881.0,71.0,539.0,4390.0,361.0,376.0,414.0,746.0
2020-06-30,885.0,71.0,544.0,4465.0,365.0,381.0,416.0,771.0
2020-07-01,890.0,71.0,549.0,4514.0,372.0,381.0,420.0,817.0
