date,0,1,Total
1/26/20,3,0,3
1/27/20,3,0,3
1/28/20,3,0,3
1/29/20,3,0,3
1/30/20,3,0,3
1/31/20,4,0,4
2/1/20,4,0,4
2/2/20,7,0,7
2/3/20,7,0,7
2/4/20,7,0,7
2/5/20,7,0,7
2/6/20,7,0,7
2/7/20,7,0,7
2/8/20,7,0,7
2/9/20,7,0,7
2/10/20,8,0,8
2/11/20,8,0,8
2/12/20,8,0,8
2/13/20,8,0,8
2/14/20,8,0,8
2/15/20,8,0,8
2/16/20,8,0,8
2/17/20,8,0,8
2/18/20,8,0,8
2/19/20,8,0,8
2/20/20,9,0,9
2/21/20,10,0,10
2/22/20,10,0,10
2/23/20,10,0,10
2/24/20,16,0,16
2/25/20,16,0,16
2/26/20,31,0,31
2/27/20,31,0,31
2/28/20,35,0,35
2/29/20,39,0,39
3/1/20,52,0,52
3/2/20,63,0,63
3/3/20,79,0,79
3/4/20,104,0,104
3/5/20,144,0,144
3/6/20,169,0,169
3/7/20,216,0,216
3/8/20,266,0,266
3/9/20,364,0,364
3/10/20,472,0,472
3/11/20,560,1,559
3/12/20,701,1,700
3/13/20,861,1,860
3/14/20,1026,1,1025
3/15/20,1192,1,1191
3/16/20,1428,3,1425
3/17/20,1706,4,1702
3/18/20,1993,4,1989
3/19/20,2382,5,2377
3/20/20,2801,6,2795
3/21/20,3336,9,3327
3/22/20,3856,12,3844
3/23/20,4532,14,4518
3/24/20,5322,20,5302
3/25/20,6034,27,6007
3/26/20,7584,37,7547
3/27/20,9100,50,9050
3/28/20,10357,58,10299
3/29/20,11767,64,11703
3/30/20,13208,72,13136
3/31/20,14566,95,14471
4/1/20,16183,115,16068
4/2/20,18603,137,18466
4/3/20,20435,156,20279
4/4/20,22295,190,22105
4/5/20,24255,209,24046
4/6/20,25878,235,25643
4/7/20,27404,273,27131
4/8/20,29380,318,29062
4/9/20,31121,352,30769
4/10/20,32625,384,32241
4/11/20,34095,412,33683
4/12/20,35264,450,34814
4/13/20,36465,485,35980
4/14/20,38102,534,37568
4/15/20,39576,598,38978
4/16/20,41058,671,40387
4/17/20,42662,739,41923
4/18/20,44523,833,43690
4/19/20,45318,858,44460
4/20/20,48073,890,47183
4/21/20,50256,969,49287
4/22/20,52238,1052,51186
4/23/20,54642,1160,53482
4/24/20,56742,1215,55527
4/25/20,58408,1277,57131
4/26/20,59746,1299,58447
4/27/20,61520,1365,60155
4/28/20,63120,1434,61686
4/29/20,65840,1505,64335
4/30/20,67794,1580,66214
5/1/20,70031,1660,68371
5/2/20,71771,1720,70051
5/3/20,73695,1741,71954
5/4/20,75139,1787,73352
5/5/20,77921,1869,76052
5/6/20,80576,1948,78628
5/7/20,82657,2025,80632
5/8/20,85161,2100,83061
5/9/20,87613,2167,85446
5/10/20,89060,2191,86869
5/11/20,90972,2235,88737
5/12/20,92891,2304,90587
5/13/20,95126,2402,92724
5/14/20,97287,2419,94868
5/15/20,99687,2545,97142
5/16/20,101881,2600,99281
5/17/20,103503,2634,100869
5/18/20,105386,2664,102722
5/19/20,107695,2753,104942
5/20/20,110036,2827,107209
5/21/20,112585,2926,109659
5/22/20,115191,2984,112207
5/23/20,117443,3060,114383
5/24/20,119659,3081,116578
5/25/20,122231,3098,119133
5/26/20,125430,3133,122297
5/27/20,127739,3224,124515
5/28/20,130249,3297,126952
5/29/20,133553,3381,130172
5/30/20,136903,3449,133454
5/31/20,140171,3474,136697
6/1/20,143218,3504,139714
6/2/20,146027,3571,142456
6/3/20,148582,3631,144951
6/4/20,151391,3686,147705
6/5/20,155641,3747,151894
6/6/20,158586,3816,154770
6/7/20,161870,3842,158028
6/8/20,164807,3859,160948
6/9/20,168068,3931,164137
6/10/20,171178,4020,167158
6/11/20,175133,4084,171049
6/12/20,179249,4120,175129
6/13/20,182897,4192,178705
6/14/20,185732,4216,181516
6/15/20,189070,4241,184829
6/16/20,193191,4307,188884
6/17/20,197886,4363,193523
6/18/20,202188,4430,197758
6/19/20,206480,4480,202000
6/20/20,211002,4546,206456
6/21/20,215549,4558,210991
6/22/20,222178,4591,217587
6/23/20,229134,4656,224478
6/24/20,234751,4735,230016
6/25/20,241016,4801,236215
6/26/20,247524,4850,242674
6/27/20,252594,4878,247716
6/28/20,258644,4902,253742
6/29/20,266540,4930,261610
6/30/20,275389,5022,270367
7/1/20,284041,5089,278952
7/2/20,293463,5169,288294
7/3/20,302358,5211,297147
7/4/20,311912,5221,306691
7/5/20,319292,5258,314034
7/6/20,326799,5321,321478
7/7/20,337483,5408,332075
7/8/20,346837,5519,341318
7/9/20,355132,5618,349514
7/10/20,364096,5717,358379
7/11/20,373207,5787,367420
7/12/20,382027,5814,376213
7/13/20,392255,5846,386409
7/14/20,403684,5952,397732
7/15/20,413630,6065,407565
7/16/20,424570,6160,418410
7/17/20,435990,6245,429745
7/18/20,445314,6331,438983
7/19/20,454647,6342,448305
7/20/20,465051,6355,458696
7/21/20,476369,6444,469925
7/22/20,489406,6574,482832
7/23/20,501195,6699,494496
7/24/20,512546,6791,505755
7/25/20,523702,6869,516833
7/26/20,530523,6887,523636
7/27/20,539772,6943,532829
7/28/20,548945,7058,541887
7/29/20,561143,7172,553971
7/30/20,570534,7263,563271
7/31/20,579508,7404,572104
8/1/20,587972,7509,580463
8/2/20,595194,7534,587660
8/3/20,602641,7590,595051
8/4/20,608786,7733,601053
8/5/20,615144,7854,607290
8/6/20,624319,7966,616353
8/7/20,632775,8079,624696
8/8/20,641515,8170,633345
8/9/20,649764,8231,641533
8/10/20,661980,8277,653703
8/11/20,674479,8375,666104
8/12/20,684296,8487,675809
8/13/20,693622,8622,685000
8/14/20,704438,8717,695721
8/15/20,714135,8780,705355
8/16/20,721664,8790,712874
8/17/20,728961,8844,720117
8/18/20,735216,8989,726227
8/19/20,742223,9092,733131
8/20/20,749861,9169,740692
8/21/20,757213,9297,747916
8/22/20,763389,9432,753957
8/23/20,768627,9441,759186
8/24/20,775702,9502,766200
8/25/20,782362,9592,772770
8/26/20,788394,9693,778701
8/27/20,794489,9796,784693
8/28/20,800855,9874,790981
8/29/20,805626,9942,795684
8/30/20,810265,9959,800306
8/31/20,816982,9989,806993
9/1/20,821647,10063,811584
9/2/20,827674,10176,817498
9/3/20,833874,10271,823603
9/4/20,840017,10359,829658
9/5/20,844830,10415,834415
9/6/20,848647,10425,838222
9/7/20,851365,10450,840915
9/8/20,855516,10474,845042
9/9/20,859198,10596,848602
9/10/20,863803,10676,853127
9/11/20,868603,10771,857832
9/12/20,872694,10831,861863
9/13/20,875903,10866,865037
9/14/20,880411,10914,869497
9/15/20,883803,10992,872811
9/16/20,887888,11061,876827
9/17/20,892113,11102,881011
9/18/20,897370,11162,886208
9/19/20,901562,11261,890301
9/20/20,905048,11249,893799
9/21/20,910019,11274,898745
9/22/20,913633,11350,902283
9/23/20,917905,11411,906494
9/24/20,922137,11463,910674
9/25/20,927210,11553,915657
9/26/20,931309,11584,919725
9/27/20,934340,11597,922743
9/28/20,938387,11615,926772
9/29/20,942247,11728,930519
9/30/20,946239,11794,934445
10/1/20,950337,11849,938488
10/2/20,955271,11896,943375
10/3/20,959166,11929,947237
10/4/20,962933,11939,950994
10/5/20,966978,11955,955023
10/6/20,970363,11997,958366
10/7/20,974878,12044,962834
10/8/20,979732,12091,967641
10/9/20,984603,12143,972460
10/10/20,988450,12202,976248
