date,0,Multnomah,Sacramento,1,2,San Diego,Anchorage,Honolulu
2020-03-26,2576.0,45,112,1358.0,1695.0,341,33,77
2020-03-27,3016.0,67,164,1556.0,2118.0,417,43,87
2020-03-28,3322.0,81,164,1692.0,2472.0,488,54,108
2020-03-29,3604.0,91,164,1825.0,2982.0,519,59,119
2020-03-30,3874.0,100,224,2121.0,3466.0,603,61,139
2020-03-31,3976.0,116,224,2257.0,4216.0,734,65,157
2020-04-01,4300.0,134,314,2519.0,4909.0,849,67,182
2020-04-02,4617.0,160,340,2733.0,5675.0,966,66,206
2020-04-03,4911.0,175,389,2982.0,6457.0,1112,73,237
2020-04-04,5124.0,209,411,3169.0,7284.0,1209,81,266
2020-04-05,5524.0,233,441,3447.0,8166.0,1326,85,281
2020-04-06,5770.0,243,461,3558.0,8944.0,1404,88,292
2020-04-07,6032.0,258,524,3741.0,9647.0,1454,98,312
2020-04-08,6305.0,286,579,3982.0,10629.0,1530,103,328
2020-04-09,6557.0,302,612,4174.0,11317.0,1628,109,334
2020-04-10,6930.0,317,652,4353.0,12026.0,1696,112,343
2020-04-11,7161.0,343,699,4588.0,12644.0,1761,121,348
2020-04-12,7366.0,374,707,4715.0,13289.0,1804,127,350
2020-04-13,7574.0,398,739,4956.0,13748.0,1847,131,352
2020-04-14,7726.0,420,816,5082.0,14634.0,1930,136,358
2020-04-15,7869.0,430,853,5358.0,15338.0,2012,139,369
2020-04-16,8066.0,448,879,5509.0,15959.0,2087,143,373
2020-04-17,8220.0,467,896,5647.0,16841.0,2158,150,380
2020-04-18,8490.0,493,914,5857.0,17814.0,2213,151,382
2020-04-19,8683.0,514,925,5941.0,18317.0,2268,154,385
2020-04-20,8854.0,520,940,6179.0,20173.0,2325,155,385
2020-04-21,8973.0,542,954,6324.0,21723.0,2434,160,385
2020-04-22,9114.0,566,971,6382.0,23212.0,2491,164,388
2020-04-23,9297.0,582,987,6589.0,24582.0,2643,166,389
2020-04-24,9472.0,596,1019,6770.0,25847.0,2826,168,392
2020-04-25,9650.0,623,1025,6902.0,26693.0,2943,168,395
2020-04-26,9779.0,652,1037,7044.0,27413.0,3043,168,396
2020-04-27,9944.0,664,1045,7186.0,28467.0,3141,171,396
2020-04-28,10068.0,677,1053,7316.0,29249.0,3378,175,396
2020-04-29,10267.0,696,1068,7450.0,31196.0,3432,179,399
2020-04-30,10461.0,707,1077,7594.0,32227.0,3627,179,399
2020-05-01,10614.0,720,1090,7706.0,33545.0,3774,185,400
2020-05-02,10771.0,734,1106,7891.0,34459.0,3905,185,400
2020-05-03,11149.0,739,1116,8093.0,35364.0,3990,187,400
2020-05-04,11193.0,754,1126,8204.0,36195.0,4083,189,400
2020-05-05,11325.0,769,1132,8373.0,38124.0,4223,190,404
2020-05-06,11511.0,793,1132,8501.0,39397.0,4382,190,405
2020-05-07,11709.0,809,1132,8645.0,40532.0,4492,191,408
2020-05-08,11833.0,839,1159,8792.0,41677.0,4725,194,408
2020-05-09,11931.0,863,1164,8963.0,43152.0,4839,194,407
2020-05-10,12018.0,885,1166,9132.0,43865.0,4989,194,408
2020-05-11,12150.0,899,1172,9199.0,44779.0,5128,195,410
2020-05-12,12262.0,908,1180,9334.0,45903.0,5224,196,411
2020-05-13,12330.0,921,1182,9447.0,47492.0,5341,196,414
2020-05-14,12480.0,940,1193,9517.0,48734.0,5454,199,414
2020-05-15,12574.0,957,1210,9727.0,50111.0,5586,200,414
2020-05-16,12692.0,979,1221,9887.0,51454.0,5725,202,415
2020-05-17,12757.0,984,1236,10078.0,52327.0,5899,204,415
2020-05-18,12859.0,996,1244,10230.0,53300.0,6009,206,415
2020-05-19,12967.0,1005,1249,10441.0,54741.0,6089,206,415
2020-05-20,13024.0,1018,1254,10518.0,56443.0,6203,207,416
2020-05-21,13092.0,1026,1265,10665.0,58113.0,6378,207,416
2020-05-22,13169.0,1037,1271,11017.0,59549.0,6497,207,414
2020-05-23,13249.0,1037,1288,11243.0,60928.0,6622,207,414
2020-05-24,13352.0,1040,1292,11441.0,62114.0,6764,207,414
2020-05-25,13431.0,1045,1301,11614.0,63838.0,6860,207,414
2020-05-26,13499.0,1052,1309,11795.0,66149.0,6945,210,414
2020-05-27,13571.0,1093,1318,11941.0,67413.0,7046,210,414
2020-05-28,13651.0,1103,1348,12127.0,68943.0,7163,214,417
2020-05-29,13701.0,1121,1372,12323.0,71210.0,7303,216,419
2020-05-30,13763.0,1142,1399,12572.0,73606.0,7448,217,421
2020-05-31,13895.0,1165,1414,12810.0,75204.0,7544,232,421
2020-06-01,13967.0,1171,1428,13007.0,76989.0,7617,235,421
2020-06-02,14056.0,1181,1438,13147.0,78578.0,7737,250,422
2020-06-03,14139.0,1194,1462,13267.0,80167.0,7861,258,423
2020-06-04,14226.0,1224,1489,13480.0,81901.0,8003,263,424
2020-06-05,14336.0,1240,1518,13766.0,84205.0,8243,278,431
2020-06-06,14379.0,1268,1536,13996.0,85820.0,8408,282,439
2020-06-07,14435.0,1286,1568,14186.0,87698.0,8539,289,441
2020-06-08,14523.0,1302,1587,14451.0,89081.0,8682,300,442
2020-06-09,14589.0,1337,1623,14665.0,90997.0,8792,305,448
2020-06-10,14629.0,1369,1641,14822.0,92966.0,8900,314,451
2020-06-11,14668.0,1407,1669,15033.0,95545.0,9061,322,458
2020-06-12,14768.0,1443,1703,15336.0,97764.0,9193,331,472
2020-06-13,14848.0,1490,1715,15490.0,99774.0,9377,339,489
2020-06-14,14918.0,1522,1752,15711.0,101456.0,9503,345,493
2020-06-15,15007.0,1559,1793,15884.0,102983.0,9673,346,501
2020-06-16,15107.0,1601,1824,16152.0,105229.0,9793,354,505
2020-06-17,15194.0,1635,1891,16358.0,108057.0,9917,358,508
2020-06-18,15331.0,1668,1939,16666.0,110193.0,10155,362,526
2020-06-19,15493.0,1717,1975,16920.0,112479.0,10413,370,551
2020-06-20,15566.0,1751,2068,17328.0,115226.0,10547,379,557
2020-06-21,15695.0,1835,2159,17593.0,117942.0,10857,386,566
2020-06-22,15813.0,1852,2242,18222.0,121728.0,11159,389,568
2020-06-23,16004.0,1896,2373,18726.0,125601.0,11357,401,571
2020-06-24,16207.0,1941,2439,19280.0,128133.0,11689,410,584
2020-06-25,16385.0,1970,2511,19704.0,131496.0,12024,420,595
2020-06-26,16534.0,2092,2665,20209.0,134732.0,12464,429,608
2020-06-27,16722.0,2090,2686,20467.0,137622.0,12900,440,613
2020-06-28,16839.0,2142,2775,21251.0,141082.0,13397,455,636
2020-06-29,17120.0,2171,3003,21814.0,145370.0,13895,463,638
2020-06-30,17324.0,2205,3222,22413.0,150531.0,14212,485,652
2020-07-01,17574.0,2242,3396,23310.0,154418.0,14686,504,659
2020-07-02,17924.0,2304,3558,24025.0,159258.0,15270,520,676
2020-07-03,18120.0,2364,3670,24593.0,164689.0,15759,541,701
2020-07-04,18267.0,2420,4003,25194.0,171063.0,16227,577,720
2020-07-05,18586.0,2491,4235,25867.0,174357.0,16789,600,744
2020-07-06,18875.0,2532,4394,26659.0,176722.0,17063,618,750
2020-07-07,19019.0,2583,4565,27157.0,183035.0,17641,633,788
2020-07-08,19225.0,2611,4775,27767.0,188602.0,17905,654,808
2020-07-09,19509.0,2697,4931,28363.0,192421.0,18465,675,842
2020-07-10,19772.0,2730,5151,29018.0,196990.0,18926,698,867
2020-07-11,19992.0,2824,5338,29813.0,202743.0,19434,733,905
2020-07-12,20250.0,2888,5488,30497.0,207561.0,19992,768,923
2020-07-13,20654.0,2966,5713,31467.0,212158.0,20411,812,942
2020-07-14,20907.0,3042,5937,32303.0,218819.0,20950,840,960
2020-07-15,21130.0,3100,6173,32994.0,224308.0,21509,876,986
2020-07-16,21601.0,3205,6394,33594.0,230459.0,21918,902,1002
