date,ESP,GBR,IRL,PRT,ESP,GBR,IRL,PRT
2020-01-31,,2.0,,,,,,
2020-02-01,1.0,2.0,,,,,,
2020-02-02,1.0,2.0,,,,,,
2020-02-03,1.0,8.0,,,,,,
2020-02-04,1.0,8.0,,,,,,
2020-02-05,1.0,9.0,,,,,,
2020-02-06,1.0,9.0,,,,,,
2020-02-07,1.0,9.0,,,,,,
2020-02-08,1.0,13.0,,,,,,
2020-02-09,2.0,14.0,,,,,,
2020-02-10,2.0,14.0,,,,,,
2020-02-11,2.0,15.0,,,,,,
2020-02-12,2.0,16.0,,,,,,
2020-02-13,2.0,17.0,,,,,,
2020-02-14,2.0,18.0,,,,,,
2020-02-15,2.0,18.0,,,,,,
2020-02-16,2.0,18.0,,,,,,
2020-02-17,2.0,19.0,,,,,,
2020-02-18,2.0,19.0,,,,,,
2020-02-19,2.0,20.0,,,,,,
2020-02-20,2.0,22.0,,,,,,
2020-02-21,2.0,23.0,,,,,,
2020-02-22,2.0,23.0,,,,,,
2020-02-23,2.0,28.0,,,,,,
2020-02-24,2.0,30.0,,,,,,
2020-02-25,6.0,34.0,,,,,,
2020-02-26,13.0,37.0,,,,,,
2020-02-27,15.0,44.0,,,,,,
2020-02-28,32.0,56.0,,,,,,
2020-02-29,45.0,61.0,1.0,,,,,
2020-03-01,84.0,94.0,1.0,,,,,
2020-03-02,120.0,134.0,1.0,2.0,,,,
2020-03-03,165.0,189.0,2.0,2.0,1.0,,,
2020-03-04,222.0,246.0,6.0,5.0,2.0,,,
2020-03-05,259.0,295.0,6.0,8.0,3.0,,,
2020-03-06,400.0,374.0,18.0,13.0,5.0,1.0,,
2020-03-07,500.0,429.0,18.0,20.0,10.0,2.0,,
2020-03-08,673.0,483.0,19.0,30.0,17.0,2.0,,
2020-03-09,1073.0,630.0,21.0,30.0,28.0,3.0,,
2020-03-10,1695.0,889.0,34.0,41.0,35.0,7.0,,
2020-03-11,2277.0,1301.0,43.0,59.0,54.0,7.0,1.0,
2020-03-12,2277.0,1790.0,43.0,59.0,55.0,9.0,1.0,
2020-03-13,5232.0,2270.0,90.0,112.0,133.0,10.0,1.0,
2020-03-14,6391.0,2634.0,129.0,169.0,195.0,29.0,2.0,
