date,DEU,ESP,FRA,GBR,ITA,USA,New York,King,USA
3/2/20,129,136,130,36,1689,88,1,15,89
3/3/20,157,192,178,40,2036,101,2,22,103
3/4/20,196,267,212,51,2502,114,11,33,125
3/5/20,262,348,285,85,3089,137,22,52,159
3/6/20,400,531,423,115,3858,189,44,59,233
3/7/20,684,764,613,163,4636,249,89,72,338
3/8/20,847,1094,716,206,5883,327,106,91,433
3/9/20,902,1527,1126,273,7375,412,142,117,554
3/10/20,1139,2299,1412,321,9172,581,173,191,754
3/11/20,1296,3274,1784,373,10149,808,217,235,1025
3/12/20,1567,4427,2281,456,12462,986,326,271,1312
3/13/20,2369,5958,2876,590,15113,1242,421,329,1663
3/14/20,3062,7641,3661,707,17660,1564,610,389,2174
3/15/20,3795,9785,4499,1140,21157,2219,732,421,2951
3/16/20,4838,11491,5423,1391,23980,2824,950,489,3774
3/17/20,6012,13994,6633,1543,27980,3286,1375,518,4661
3/18/20,7156,17688,7730,1950,31506,4040,2387,563,6427
3/19/20,8198,21735,9134,2630,35713,5254,4161,693,9415
3/20/20,14138,26304,10995,3277,41035,7137,7113,794,14250
3/21/20,18187,31750,12612,3983,47021,9253,10371,935,19624
3/22/20,21463,36616,14459,5018,53578,11559,15188,1036,26747
3/23/20,24774,41262,16018,5683,59138,14307,20899,1166,35206
3/24/20,29212,48953,19856,6650,63927,20739,25703,1278,46442
3/25/20,31554,57506,22302,8077,69176,22115,33116,1360,55231
3/26/20,36508,66460,25233,9529,74386,30137,39057,1579,69194
3/27/20,42288,75641,29155,11658,80539,41246,44745,1830,85991
3/28/20,48582,83885,32964,14543,86498,51170,53516,2079,104686
3/29/20,52547,90309,37575,17089,92472,64882,59783,2163,124665
3/30/20,57298,96122,40174,19522,97689,75563,67462,2332,143025
3/31/20,61913,104267,44550,22141,101739,88409,76211,2332,164620
4/1/20,67366,111680,52128,25150,105792,105255,84363,2498,189618
4/2/20,73522,119263,56989,29474,110574,123750,92971,2658,216721
4/3/20,79696,126535,59105,33718,115242,141889,103651,2789,245540
4/4/20,85778,133198,64338,38168,119827,162002,115963,2900,277965
4/5/20,91714,138731,68605,41903,124632,188152,124085,3169,312237
4/6/20,95391,142398,70478,47806,128948,205574,132061,3333,337635
4/7/20,99225,147607,74390,51608,132547,226493,141703,3488,368196
4/8/20,103228,153190,78167,55242,135586,247538,151271,3690,398809
4/9/20,108202,158935,82048,60733,139422,270096,162036,3888,432132
4/10/20,113525,163472,86334,65077,143626,293203,172830,4119,466033
4/11/20,117658,168022,90676,70272,147577,318570,182990,4264,501560
4/12/20,120479,171921,93790,78991,152271,338526,191425,4428,529951
4/13/20,123016,174951,95403,84279,156363,359598,197973,4551,557571
4/14/20,125098,178067,98076,88621,159516,377219,205375,4622,582594
4/15/20,127584,182491,103573,93873,162488,392386,217130,4699,609516
4/16/20,130450,186311,106206,98476,165155,413903,225761,4811,639664
4/17/20,133830,190129,108847,103093,168941,438038,233293,4904,671331
4/18/20,137439,193965,109252,108692,172434,461622,240542,5065,702164
4/19/20,139897,193252,111821,114217,175925,488345,246741,5174,735086
4/20/20,141672,195470,112606,120067,178972,508079,251608,5295,759687
4/21/20,143457,198421,114657,124743,181228,531820,255932,5381,787752
4/22/20,145694,200733,117324,129044,183957,563450,261591,5451,825041
4/23/20,148046,203649,119151,133495,187327,574697,267932,5571,842629
4/24/20,150383,205763,120804,138078,189973,592954,276218,5691,869172
4/25/20,152438,208269,122577,143464,192994,603623,286901,5813,890524
4/26/20,154175,209910,124114,148377,195351,646139,292914,5914,939053
4/27/20,155193,211570,124575,152840,197675,668919,296991,5992,965910
4/28/20,156337,213095,125770,157149,199414,688175,300276,6056,988451
4/29/20,157641,213942,126835,161145,201505,707589,304994,6184,1012583
4/30/20,159119,215183,128442,165221,203591,730213,309696,6310,1039909
5/1/20,159119,216570,129581,171253,205463,756251,313575,6409,1069826
5/2/20,161703,217804,130185,177454,207428,785647,318134,6507,1103781
5/3/20,162496,218739,130979,182260,209328,811236,321833,6620,1133069
5/4/20,163175,219205,131287,186599,210717,833684,324357,6584,1158041
5/5/20,163860,220244,131863,190584,211938,853975,326659,6655,1180634
5/6/20,164897,221124,132967,194990,213013,875070,329405,6772,1204475
5/7/20,166091,222045,137150,201201,214457,895672,332931,6865,1228603
5/8/20,167300,223218,137779,206715,215858,921168,335804,6942,1256972
5/9/20,168551,223961,138421,211364,217185,945410,338519,7002,1283929
5/10/20,169218,227377,138854,215260,218268,968884,340657,7048,1309541
5/11/20,169575,227770,139063,219183,219070,987532,342267,7117,1329799
5/12/20,170508,228252,139519,223060,219814,1004211,343705,7181,1347916
5/13/20,171306,228691,140227,226463,221216,1024136,345828,7223,1369964
5/14/20,172239,229540,140734,229705,222104,1042554,348192,7309,1390746
5/15/20,173152,230183,141356,233151,223096,1066938,350951,7362,1417889
5/16/20,173772,230698,141919,236711,223885,1090261,353136,7442,1443397
5/17/20,174355,231350,142291,240161,224760,1112847,355037,7482,1467884
5/18/20,174697,231606,142411,243695,225435,1130479,356278,7531,1486757
5/19/20,175210,232037,142903,246406,225886,1150841,357757,7584,1508598
5/20/20,176007,232555,143427,248818,226699,1169333,359235,7619,1528568
5/21/20,176752,233037,143845,248293,227364,1190540,361313,7647,1551853
5/22/20,177212,234824,144163,250908,228006,1214296,362991,7699,1577287
5/23/20,177850,235290,144566,254195,228658,1236689,364745,7766,1601434
5/24/20,178281,235772,144806,257154,229327,1256324,366346,7821,1622670
5/25/20,178570,235400,144921,259559,229858,1275613,367625,7881,1643238
5/26/20,179002,236259,145279,261184,230158,1293633,368669,7898,1662302
5/27/20,179364,236769,145555,265227,230555,1311411,369801,7933,1681212
5/28/20,179717,237906,145746,267240,231139,1328374,371559,7988,1699933
5/29/20,180458,238564,149071,269127,231732,1348642,373108,8008,1721750
5/30/20,181196,239228,149668,271222,232248,1372616,374471,8056,1747087
5/31/20,181482,239429,151496,272826,232664,1394809,375575,8161,1770384
6/1/20,181815,239638,151753,274762,233019,1413671,376520,8194,1790191
6/2/20,182028,239932,152091,276332,233197,1433396,377881,8237,1811277
6/3/20,182370,240326,151325,277985,233515,1452897,378924,8279,1831821
6/4/20,182764,240660,151677,279856,233836,1471543,379977,8335,1851520
6/5/20,183271,240978,152444,281661,234013,1491641,381019,8398,1872660
6/6/20,183678,241310,153055,283311,234531,1515736,382102,8419,1897838
6/7/20,183979,241550,153634,284868,234801,1537182,382879,8467,1920061
6/8/20,184193,241717,153977,286194,234998,1558772,383591,8509,1942363
6/9/20,184543,241966,154188,287399,235278,1576904,384281,8538,1961185
6/10/20,184861,242280,154591,289140,235561,1594905,384945,8561,1979850
6/11/20,185416,242707,155136,290143,235763,1614795,385669,8586,2000464
6/12/20,185674,243209,155561,291409,236142,1636857,386490,8646,2023347
6/13/20,186022,243605,156287,292950,236305,1661584,387402,8702,2048986
6/14/20,186269,243928,156813,294375,236651,1686430,388096,8753,2074526
6/15/20,186461,244109,157220,295889,236989,1705350,388719,8799,2094069
6/16/20,186839,244328,157372,296857,237290,1724677,389349,8857,2114026
6/17/20,187184,244683,157716,298136,237500,1747821,389910,8895,2137731
6/18/20,187764,245268,158174,299251,237828,1772754,390536,8989,2163290
6/19/20,188534,245575,158641,300469,238159,1799722,391330,9098,2191052
6/20/20,189135,245938,159452,301815,238011,1828924,392037,9167,2220961
6/21/20,189822,246272,160093,303110,238275,1862417,392702,9236,2255119
6/22/20,190359,246504,160377,304331,238499,1887655,393257,9275,2280912
6/23/20,190862,246752,160750,305289,238720,1918447,393855,9371,2312302
6/24/20,191449,,161267,306210,238833,,,,2347022
