date,county,state,fips,cases,deaths
2020-02-28,King,Washington,53033.0,1,0
2020-02-29,King,Washington,53033.0,4,1
2020-03-01,King,Washington,53033.0,11,3
2020-03-02,King,Washington,53033.0,15,6
2020-03-03,King,Washington,53033.0,22,10
2020-03-04,King,Washington,53033.0,33,11
2020-03-05,King,Washington,53033.0,52,11
2020-03-06,King,Washington,53033.0,59,12
2020-03-07,King,Washington,53033.0,72,16
2020-03-08,King,Washington,53033.0,91,18
2020-03-09,King,Washington,53033.0,117,21
2020-03-10,King,Washington,53033.0,191,23
2020-03-11,King,Washington,53033.0,235,27
2020-03-12,King,Washington,53033.0,271,28
2020-03-13,King,Washington,53033.0,329,33
2020-03-14,King,Washington,53033.0,389,36
2020-03-15,King,Washington,53033.0,421,38
2020-03-16,King,Washington,53033.0,489,44
2020-03-17,King,Washington,53033.0,518,47
2020-03-18,King,Washington,53033.0,563,57
2020-03-19,King,Washington,53033.0,693,61
2020-03-20,King,Washington,53033.0,794,68
2020-03-21,King,Washington,53033.0,935,76
2020-03-22,King,Washington,53033.0,1036,77
2020-03-23,King,Washington,53033.0,1166,88
2020-03-24,King,Washington,53033.0,1278,95
2020-03-25,King,Washington,53033.0,1360,101
2020-03-26,King,Washington,53033.0,1579,111
2020-03-27,King,Washington,53033.0,1830,127
2020-03-28,King,Washington,53033.0,2079,138
2020-03-29,King,Washington,53033.0,2163,146
2020-03-30,King,Washington,53033.0,2332,152
2020-03-31,King,Washington,53033.0,2332,152
2020-04-01,King,Washington,53033.0,2498,166
2020-04-02,King,Washington,53033.0,2658,177
2020-04-03,King,Washington,53033.0,2789,188
2020-04-04,King,Washington,53033.0,2900,204
2020-04-05,King,Washington,53033.0,3169,210
2020-04-06,King,Washington,53033.0,3333,224
2020-04-07,King,Washington,53033.0,3488,232
2020-04-08,King,Washington,53033.0,3690,246
2020-04-09,King,Washington,53033.0,3888,260
2020-04-10,King,Washington,53033.0,4119,279
2020-04-11,King,Washington,53033.0,4264,286
2020-04-12,King,Washington,53033.0,4428,294
2020-04-13,King,Washington,53033.0,4551,298
2020-04-14,King,Washington,53033.0,4622,305
2020-04-15,King,Washington,53033.0,4699,314
2020-04-16,King,Washington,53033.0,4811,322
2020-04-17,King,Washington,53033.0,4904,333
2020-04-18,King,Washington,53033.0,5065,342
2020-04-19,King,Washington,53033.0,5174,348
2020-04-20,King,Washington,53033.0,5295,362
2020-04-21,King,Washington,53033.0,5381,374
2020-04-22,King,Washington,53033.0,5451,381
2020-04-23,King,Washington,53033.0,5571,386
2020-04-24,King,Washington,53033.0,5691,393
2020-04-25,King,Washington,53033.0,5813,401
2020-04-26,King,Washington,53033.0,5914,410
2020-04-27,King,Washington,53033.0,5992,418
2020-04-28,King,Washington,53033.0,6056,429
2020-04-29,King,Washington,53033.0,6184,438
2020-04-30,King,Washington,53033.0,6310,448
2020-05-01,King,Washington,53033.0,6409,451
2020-05-02,King,Washington,53033.0,6507,456
2020-05-03,King,Washington,53033.0,6620,461
2020-05-04,King,Washington,53033.0,6584,465
2020-05-05,King,Washington,53033.0,6655,471
2020-05-06,King,Washington,53033.0,6772,476
2020-05-07,King,Washington,53033.0,7182,482
2020-05-08,King,Washington,53033.0,7182,487
2020-05-09,King,Washington,53033.0,7319,492
2020-05-10,King,Washington,53033.0,7365,502
2020-05-11,King,Washington,53033.0,7434,507
2020-05-12,King,Washington,53033.0,7498,513
2020-05-13,King,Washington,53033.0,7540,516
2020-05-14,King,Washington,53033.0,7624,516
2020-05-15,King,Washington,53033.0,7679,523
2020-05-16,King,Washington,53033.0,7759,528
2020-05-17,King,Washington,53033.0,7799,529
2020-05-18,King,Washington,53033.0,7848,530
